CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4
Valencia,Henry Mayo Newhall Memorial Hospital,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Vallejo,Sutter Solano Medical Center,Solano,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Valley Stream,,Nassau,NY,US,2020-05-01,,,,,,,Trump supporters,protest shutdown due to Covid 19,2,car protest,0,0,0,0,1,1,,https://www.nydailynews.com/coronavirus/ny-coronavirus-trump-maga-rallies-new-york-20200429-nzc366wupndmjgh2ibt7fv5rpq-story.html,,,,
Vancouver,Clark County Courthouse,Clark,WA,US,2020-05-01,more than 100,100,,100,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.columbian.com/news/2020/may/01/more-than-100-people-protest-covid-19-closures-at-clark-county-courthouse/,,,,
Ventura,Community Memorial Hospital,Ventura,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Ventura,,Ventura,CA,US,2020-05-01,about 1000; about 1500,1000,,1500,,,general protestors,protest stay at home orders due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.vcstar.com/story/news/local/communities/ventura/2020/05/10/protesters-again-gather-ventura-urge-reopening-california/3104886001/,https://www.vcstar.com/story/news/local/communities/ventura/2020/05/01/reopen-california-protest-ventura-county-stay-home-coronavirus-covid-19/3065312001/,,,
Visalia,Mooney Boulevard and Caldwell Ave,Tulare,CA,US,2020-05-01,nearly 300,300,,300,,,Ellen Woitalla; general protestors,protest economic shutdown due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.visaliatimesdelta.com/story/news/2020/05/01/visalias-maga-mayday-rally-urges-newsom-reopen-california/3062164001/,,,,
Washington,Constitution Ave,DC,DC,US,2020-05-01,70-80; dozens,24,,80,,,truck drivers,for better working conditions for truck drivers during coronavirus pandemic,0,car protest,0,0,0,0,1,1,,https://www.dakotanewsnow.com/content/news/US--570131661.html,https://wtop.com/dc/2020/05/truckers-protesting-in-downtown-dc-this-weekend/,,,
Washington,Washington Hospital Center,DC,DC,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
West Lebanon ,,Grafton,NH,US,2020-05-01,,,,,,,union organizers; general protestors,support essential workers during coronavirus pandemic,0,car protest,0,0,0,0,1,1,,https://www.wcax.com/content/news/Vermont-May-Day-rallies-Friday-to-support-essential-workers-570109901.html,,,,
Westminster,Kindred Hospital Westminster,Orange,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Whittier,Whitter Hospital Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Wichita,City Hall,Sedgwick,KS,US,2020-05-01,dozens,24,,24,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,www.kake.com/story/42080461/kansans-protest-gov-laura-kellys-reopening-plan-wanting-less-restrictions-sooner,,,,
Wilmington,Governor's office,New Castle,DE,US,2020-05-01,about 100,100,,100,,,general protestors,protest stay-at-home orders due to Covid-19,2,protest,0,0,0,0,1,1,,https://6abc.com/delaware-coronavirus-covid-19-governor-john-carney-stay-at-home-order/6142128/,https://www.delawareonline.com/story/news/politics/2020/05/08/delaware-anti-quarantine-protesters-plan-rehoboth-beach-rally/5179098002/,,,
Woodland,Woodland Healthcare,Yolo,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Yuba City,Rideout Memorial Hospital,Sutter,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Augusta,State Capitol,Kennebec,ME,US,2020-05-02,hundreds,200,,200,,,general protesters,support business reopenings during coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.newscentermaine.com/article/news/health/coronavirus/frightened-to-death-maine-business-owners-to-swarm-augusta-saturday-to-protest-governor-janet-mills-coronavirus-restrictions/97-b2073c29-26d7-4ae4-8e8d-556d4ab485eb,,,,
Baton Rouge,,East Baton Rouge Parish ,LA,US,2020-05-02,about 250,250,,250,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.theadvocate.com/baton_rouge/news/coronavirus/article_74ee2aee-8cbf-11ea-92b4-bbf81f80e40c.html,,,,
Bexley,Dr. Amy Acton's home,Franklin,OH,US,2020-05-02,between 15-20,15,,20,,,general protestors,protest stay-at-home orders due to Covid-19,2,car protest,0,0,0,0,1,1,,https://forward.com/fast-forward/445481/amy-acton-ohio-shutdown-protests-globalist/,,,,
Bexley,,Franklin ,OH,US,2020-05-02,15 to 20 ,15,,20,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.news5cleveland.com/news/continuing-coverage/coronavirus/local-coronavirus-news/small-group-of-protesters-gather-in-dr-amy-actons-neighborhood,,,,
Boise,Idaho State Capitol,Ada,ID,US,2020-05-02,,,,,,,Health Freedom Idaho; The Idaho Freedom Foundation ,against coronavirus mask mandates and other state measures in response to pandemic,2,rally,0,0,0,0,1,1,20200502-boise-covid,https://www.idahopress.com/coronavirus/protesters-voice-support-for-full-reopening-of-economy-at-saturday-rally/article_b09742ec-92ef-59e9-998c-92f568f9dbde.html,https://twitter.com/AFriendlyDad/status/1422682621432143873,,,
Boise,Idaho State Capitol,Ada,ID,US,2020-05-02,,,,,,,general protesters,for state measures in response to coronavirus pandemic,1,counter-protest,0,0,0,0,0,1,20200502-boise-covid,https://twitter.com/AFriendlyDad/status/1422682621432143873,,,,
Brookfield,Brookfield Square,Waukesha,WI,US,2020-05-02,estimated 350,350,,350,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.cbs58.com/news/protesters-hold-brookfield-rally-days-before-wisconsin-supreme-court-set-to-consider-gop-lawsuit,,,,
Brookings,,Curry,OR,US,2020-05-02,more than 50,50,,50,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.currypilot.com/news/people-rally-in-brookings-to-reopen-oregon-especially-curry-county/article_95324b44-8d8e-11ea-a9a1-334c281fe99f.html,,,,
Burlington,Echo Park,Racine,WI,US,2020-05-02,,,,,,,ReOpen Burlington,protest stay-at-home orders due to Covid-19,2,protest,,,,,1,1,,https://www.kenoshanews.com/news/local/burlington-mayor-rebukes-re-open-burlington-protest-planned-for-saturday/article_96fdc626-9f23-5eea-89c4-c6f846b66344.html,,,,
Carson City,,Ormsby,NV,US,2020-05-02,,,,,,,general protesters,for the reopening of businesses during coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.rgj.com/story/news/2020/05/02/nevada-coronavirus-covid-19-updates-reno-sparks-las-vegas/3071242001/,,,,
Chattanooga,,Hamilton ,TN,US,2020-05-02,more than 150,150,,150,,,general protesters,support business reopenings during coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.timesfreepress.com/news/local/story/2020/may/02/chattanoogdivided-over-business-shutdownsmost/522096/,,,,
Cleveland,,Cuyahoga,OH,US,2020-05-02,,,,,,,Grandview Pointe Apartments tenants,against property neglect and threats of eviction during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.news5cleveland.com/grandview-pointe-apartment-tenants-face-threats-of-eviction-over-rent,,,,
Coeur d'Alene,Northwest Boulevard,Kootenai,ID,US,2020-05-02,,,,,,,Trump supporters,pro Trump; reopen businesses during coronavirus pandemic,2,rally,,,,,1,1,,https://cdapress.com/news/2020/apr/29/trump-supporters-to-rally-5/,,,,
Concord,State House,Merrimack ,NH,US,2020-05-02,350 to 400,350,,400,,,Reopen NH,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://manchesterinklink.com/reopen-nh-rally-at-the-state-house-draws-hundreds-seeking-liberty-from-governors-covid-19-policies/,,,,
Denver,State Capitol,Denver,CO,US,2020-05-02,,,,,,,general protestors,support essential workers during coronavirus pandemic,0,car protest,,,,,1,1,,https://www.coloradopolitics.com/quick-hits/saturday-car-rally-at-the-capitol-to-salute-essential-workers/article_e1b35b06-8bc3-11ea-91d2-efdb604743f9.html,,,,
Frankfort,State Capitol,Franklin ,KY,US,2020-05-02,hundreds,200,,200,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.kentucky.com/news/state/article242436221.html,https://www.kentucky.com/news/coronavirus/article242670151.html,,,
Frederick,"from Francis Scott Key Mall to Salisbury, MD",Frederick,MD,US,2020-05-02,,,,,,,ReOpen Maryland,protest shutdown due to Covid 19,2,car protest,,,,,1,1,,https://www.capitalgazette.com/coronavirus/ac-cn-second-reopen-maryland-rally-20200430-oeh646kfavca5bt5ffp5v3acva-story.html,,,,
Gastonia,City Hall,Gaston ,NC,US,2020-05-02,about a dozen,12,,12,,,general protestsers,support business reopenings during coronavirus pandemic,2,rally,0,0,0,0,1,1,,https://www.gastongazette.com/news/20200502/reopen-gaston-county-rallies-saturday,,,,
Harrisburg,,Dauphin,PA,US,2020-05-02,between 100-200,100,,200,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.ydr.com/story/news/2020/05/02/open-pa-s-doors-protesters-tell-gov-wolf-his-house/3056476001/,,,,
Hartford,State Capitol,Hartford ,CT,US,2020-05-02,,,,,,,general protesters,against price gouging in the trucking industry during COVID-19 pandemic,0,protest,0,0,0,0,1,1,,https://www.wtnh.com/news/connecticut/hartford/truckers-rally-against-industry-price-gouging-at-state-capitol/,,,,
Henderson,Henderson Pavilion,Clark,NV,US,2020-05-02,hundreds,200,,200,,,The Henderson Coalition for Responsible Government,against proposal to build hockey arena,0,protest; car rally,0,0,0,0,1,1,,https://www.reviewjournal.com/local/henderson/hundreds-protest-henderson-plans-to-build-hockey-arena-2019959/,,,,
Huntington Beach,Main Street,Orange ,CA,US,2020-05-02,,,,,,,general protesters,against closing of beaches during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.latimes.com/socal/daily-pilot/news/story/2020-05-02/protesters-rally-to-open-beach-state-in-laguna-beach-and-huntington-beach,,,,
Laguna Beach,,Orange ,CA,US,2020-05-02,80-plus,80,,80,,,general protesters,against closing of beaches during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.ocregister.com/huntington-beach-helicopter-police-lifeguards-on-patrol-saturday-to-discourage-sunbathers-and-surfers,,,,
Lebanon,Lebanon Catholic School,Lebanon ,PA,US,2020-05-02,,,,,,,general protesters,against permanent closure of Catholic school,0,protest; car-protest,0,0,0,0,1,1,,https://www.pennlive.com/coronavirus/2020/05/lebanon-catholic-school-supporters-safely-rally-against-permanent-school-closure.html,,,,
Marion,Marion Correctional Institution ,Marion,OH,US,2020-05-02,dozens,24,,24,,,general protesters,for better treatment of prisoners during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.wkyc.com/article/news/health/coronavirus/basheer-jones-takes-part-in-coronavirus-protest-at-marion-correctional-institution/95-f5d123e8-6382-4692-8083-8b2bb23fa9ce,,,,
Monmouth,Monmouth's Smithfield Foods,Warren,IL,US,2020-05-02,,,,,,,general protesters,for better workplace safety measures during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.galesburg.com/news/20200502/workers-protest-as-smithfield-reopens-in-monmouth,,,,
Morganton,Courthouse Square,Burke ,NC,US,2020-05-02,more than 40,40,,40,,,Reopen NC,support business reopenings during COVID-19 pandemic,2,protest,0,0,0,0,1,1,,https://www.morganton.com/news/local/watch-now-reopen-nc-holds-first-protest-in-morganton-on-saturday/article_e5422ddd-c310-5790-ad67-b59204b8a056.html,,,,
Morgantown,,Monongalia ,WV,US,2020-05-02,,,,,,,general protesters,against transfers of federal inmates during COVID-19 pandemic,0,protest,,,,,1,1,,https://www.bdtonline.com/news/union-protest-planned-in-morgantown-over-transfers-of-federal-inmates/article_87a7af5a-8c12-11ea-84df-433665d211bc.html,Future.,,,
Northampton,Coolidge Bridge,Hampshire,MA,US,2020-05-02,about 40,40,,40,,,general protestors,protest economic shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.gazettenet.com/MAGA-rally-planned-in-Northampton-34134523,https://www.gazettenet.com/SA-KG-050220-hg-Trump-Rally-34166103,,,
Northampton,Coolidge Bridge,Hampshire,MA,US,2020-05-02,dozens,24,,24,,,general protesters,against President Trump's handling of the coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.wwlp.com/news/local-news/hampshire-county/state-re-openings-divide-northampton-protest-groups/,,,,
Pahrump,Highway 160,Nye,NV,US,2020-05-02,,,,,,,Fight For Nevada,protest stay-at-home orders due to Covid-19,2,protest,0,0,0,0,1,1,,https://pvtimes.com/news/reopen-nevada-rally-held-in-pahrump-another-scheduled-for-saturday-84531/,,,,
Redlands,City Hall,San Bernardino ,CA,US,2020-05-02,,,,,,,general protesters,protest stay-at-home measures due to Covid-19,2,rally,0,0,0,0,1,1,,https://www.redlandsdailyfacts.com/protesters-rally-in-redlands-to-demand-end-to-stay-at-home-orders,,,,
Roswell,South Main Street,Chaves,NM,US,2020-05-02,about 40,40,,40,,,Concerned Citizens for New Mexico,support business reopenings or support for local businesses during coronavirus pandemi,2,protest; caravan,0,0,0,0,1,1,,https://www.rdrnews.com/2020/05/02/roswellites-rally-to-drive-point-about-business-reopening/,,,,
Salem,State Capitol,Marion ,OR,US,2020-05-02,,,,,,,Oregon Uniting for Liberty,against state and local coronavirus shutdown orders,2,protest,,,,,1,1,,https://www.kdrv.com/content/news/A-rally-to-re-open-Oregon-comes-as-small-businesses-struggle-and-local-leaders-draft-re-opening-proposals-569995981.html,Future.,,,
Salisbury,Rowan County Courthouse,Rowan,NC,US,2020-05-02,,,,,,,general protestors,protest stay-at-home orders due to Covid-19,2,protest,,,,,1,1,,https://www.salisburypost.com/2020/04/30/reopen-nc-rally-planned-saturday-in-downtown-salisbury/,,,,
Salisbury,,Rowan,NC,US,2020-05-02,about 20,20,,20,,,Reopen NC,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.salisburypost.com/2020/05/11/political-notebook-sen-carl-ford-encourages-increased-crowds-of-reopen-nc-protesters/,,,,
San Pedro,Terminal Island Prison,Los Angeles,CA,US,2020-05-02,about 20,20,,20,,,general protesters,for better treatment of prisoners during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.presstelegram.com/families-of-prisoners-at-terminal-island-protest-outside-facility,,,,
Santa Maria,Intersection of Betteravia and Bradley,Santa Barbara,CA,US,2020-05-02,about 50,50,,50,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://santamariatimes.com/news/local/citizens-rally-in-santa-maria-to-reopen-california-s-economy/article_b824be5c-1d75-5527-88c1-c417e262afed.html,,,,
Santee,Vons shopping center,San Diego,CA,US,2020-05-02,,1,,1,,,local man,pro KKK; anti stay-at-home orders during coronavirus pandemic,2,demonstration,0,0,0,0,1,1,,https://www.dailymail.co.uk/news/article-8303263/Couple-wear-masks-SWASTIKAS-grocery-shopping-California.html,https://www.dailydot.com/irl/california-swastika-face-masks/,,Wore hood while shopping.,
Seal Beach,,Orange ,CA,US,2020-05-02,about two dozen,24,,24,,,general protesters,against closing of beaches during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.ocregister.com/huntington-beach-helicopter-police-lifeguards-on-patrol-saturday-to-discourage-sunbathers-and-surfers,,,,
St. Paul,State Capitol,Ramsey ,MN,US,2020-05-02,hundreds,200,,200,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.twincities.com/2020/05/02/car-rally-at-mn-capitol-calls-for-an-end-to-coronavirus-shutdown/,,,,
Sunset Beach,,Brunswick ,NC,US,2020-05-02,dozens,24,,24,,,Open Sunset Beach ,for the opening of Sunset Beach during COVID-19 pandemic,2,protest,0,0,0,0,1,1,,https://www.wwaytv3.com/2020/05/02/we-love-sunset-beach-open-sunset-beach-dozens-rally-to-reopen-sunset-beach/,,,,
Tyler,City Hall,Smith ,TX,US,2020-05-02,about 100,100,,100,,,Reopen Texas,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://tylerpaper.com/covid-19/protestors-demand-lawmakers-fully-reopen-texas-at-downtown-rally/article_10b54184-8cba-11ea-aca6-53eb21b3a82d.html,,,,
Washington,Constitution Avenue,DC,DC,US,2020-05-02,dozens,24,,24,,,general protesters,against low shipping rates during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://wtop.com/dc/2020/05/truckers-protesting-in-downtown-dc-this-weekend/,,,,
Westville,Westville Correctional Facility,LaPorte,IN,US,2020-05-02,nearly 60,60,,60,,,general protestors,anti ICE; seek release of immigrant detainees due to Covid 19,1,car protest,0,0,0,0,1,1,,https://www.thenewsdispatch.com/news/local/article_8e721f14-7e6c-530c-9e0f-adb18b8db726.html,,,,
Algonquin,Randall Road and County Line Road,McHenry,IL,US,2020-05-03,,,,,,,Freedom Movement USA,protest economic shutdown due to Covid-19,2,protest,,,,,1,1,,https://www.nwherald.com/2020/04/28/protest-organizer-plans-to-bring-anti-lockdown-demonstration-to-algonquin/aefvda/,,,,
Aurora,Tollgate Neighborhood,Adams,CO,US,2020-05-03,,,,,,,general protestors,against ICE,1,car protest,0,0,0,0,1,1,,https://denver.cbslocal.com/2020/05/04/aurora-ice-protest/,,,,
Columbus,State Capitol,Delaware,OH,US,2020-05-03,about 25,25,,25,,,The Physicians Action Network,in support of Ohio Department of Health Director Dr. Amy Acton during coronavirus pandemic,0,rally,0,0,0,0,1,1,,https://www.cleveland.com/coronavirus/2020/05/ohio-based-physicians-action-network-statehouse-demonstration-in-support-of-dr-amy-acton.html,,,,
Dover,Strafford County Department of Corrections,Strafford,NH,US,2020-05-03,NA; over 100,65,,100,,,Never Again Action,anti ICE; seek release of immigrant detainees due to Covid 19,1,car protest,0,0,0,0,1,1,,https://manchesterinklink.com/protesters-say-ice-have-a-heart-in-car-rally-to-free-immigrants-at-strafford-county-jail/,https://www.fosters.com/news/20200508/strafford-county-jail-car-rallies-aim-to-support-detainees,,,
Framingham,,Middlesex,MA,US,2020-05-03,more than 100,100,,100,,,general protesters,for the release of prisoners during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.metrowestdailynews.com/news/20200503/car-rally-outside-mci-framingham-called-for-release-of-more-inmates,,,,
Harrisonburg,Catahoula Correctional Center,Catahoula Paris,LA,US,2020-05-03,five dozen,60,,60,,,detainees,for better treatment of prisoners during COVID-19 pandemic ,0,protest,0,numerous,0,0,1,1,,https://thelensnola.org/2020/05/27/detainees-at-privately-owned-immigration-facility-say-sheriffs-office-broke-up-protest-with-pepper-spray-projectiles/?fbclid=IwAR1LhMVoqL4fHpNh7NV1-nmi3oQlA-AkZYoiEMfqheSoyJlLq6Y-b6vKjas,,,,
New York,Mount Sinai Beth Israel Medical Center; Manhattan,New York,NY,US,2020-05-03,about a dozen,12,,12,,,general protesters,against hospital's partnership with Samaritan's Purse; for LGBTQ rights,0,protest,0,0,0,0,1,1,,https://www.amny.com/coronavirus/what-happened-to-free-speech-manhattan-protesters-irked-by-heavy-cop-presence/,,,,
Norfolk,Sentara Norfolk General Hospital,,VA,US,2020-05-03,,,,,,,The Original Black Panthers Party; Black Lives Matter 757,"against racism, against police violence, for justice for Isaiah Swift",1,protest,0,0,0,0,1,1,,https://www.instagram.com/p/COaaEi9hFu1/,https://www.facebook.com/BLM757/videos/justiceforswift-rally-on-saturday-may-2nd-2020-23-year-old-isaiah-swift-was-shot/541846206506905/,,,
Phoenix,State Capitol,Maricopa,AZ,US,2020-05-03,about 500,500,,500,,,general protesters,protest stay-at-home measures due to Covid-19,2,rally,0,0,0,0,1,1,,https://www.azcentral.com/story/news/local/phoenix-breaking/2020/05/03/500-protest-stay-home-order-rally-arizona-state-capitol-sunday/3075489001/,,,,
Rancho Cucamonga,Foothill and Day Creek Blvd.,San Bernardino,CA,US,2020-05-03,about 300,300,,300,,,general protestors,protest stay-at-home orders due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.dailybulletin.com/2020/05/03/hundreds-protest-coronavirus-lockdown-in-rancho-cucamonga/,,,,
Rancho Cucamonga,Intersection of Foothill and Day Creek Blvd. ,San Bernardino ,CA,US,2020-05-03,about 300,300,,300,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.dailybulletin.com/hundreds-protest-coronavirus-lockdown-in-rancho-cucamonga,,,,
Vacaville,Vacaville City Hall,Solano ,CA,US,2020-05-03,about 200,200,,200,,,general protesters,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.kcra.com/article/protesters-rally-in-vacaville-want-officials-to-open-california/32356966,,,,
Bexley,Dr. Amy Acton's home,Franklin,OH,US,2020-05-04,a few dozen,36,,36,,,general protestors,protest stay-at-home orders due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.dispatch.com/news/20200507/bexley-city-council-agrees-not-to-vote-on-ordinance-to-ban-protesters-targeting-dr-amy-acton-at-her-home,,,,
Big Spring,outside municipal court,Howard,TX,US,2020-05-04,a couple dozen,24,,24,,,business owners and supporters,protest economic shutdown due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.newswest9.com/article/news/local/big-spring-non-essential-business-owners-hold-protest/513-783b9b87-07dd-4910-9bcf-e030ed21d5e8,,,,
Columbia,Sumter School District Office,Richland,SC,US,2020-05-04,more than 100,100,,100,,,students,against lack of high school graduation ceremony due to coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.wistv.com/2020/05/04/united-protest-sc-students-rally-against-virtual-graduation-ceremonies/,,,,
Dillwyn,Dillwyn Correctional Center,,VA,US,2020-05-04,,,,,,,inmates,for stronger measures to prevent spread of COVID-19 in prison,0,direct action; hunger strike,0,0,0,0,1,1,,https://www.wvtf.org/post/prisoners-protest-more-700-contract-covid-19#stream/0,,,,
Fort Myers,Daniel's Marketplace,Lee,FL,US,2020-05-04,about a dozen,12,,12,,,Chico's employees,protest firing without severance during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.news-press.com/story/money/companies/2020/05/04/after-mass-layoffs-headquarters-former-chicos-employees-protest-getting-no-severance-pay/3076769001/,,,,
Hartford,Hartford Square,Geneva,AL,US,2020-05-04,dozens,24,,24,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.wtvy.com/content/news/Silent-protest-at-Hartford-Square-570184101.html,,,,
Mocksville,Davie County Courthouse,Davie,NC,US,2020-05-04,,,,,,,business owners,protest economic shutdown due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.ourdavie.com/2020/05/07/reopen-davie-rallies-at-courthouse/,,,,
Odessa,Big Daddy Zane's Bar; Anytime Fitness,Ector,TX,US,2020-05-04,more than 20,20,,20,,,Open Texas,protest economic shutdown due to Covid-19,2,protest,8,0,0,0,1,1,,https://www.oaoa.com/business/article_813ecf9a-8e6f-11ea-ad18-138272f48fd8.html,https://www.newswest9.com/article/news/local/ector-county-sheriffs-office-receives-hundreds-of-threats-following-arrest-of-protestors/513-5fddba7f-497f-423f-8846-007418bd4b11,,,
San Diego,,San Diego,CA,US,2020-05-04,,,,,,,county employees,protest dangerous work conditions during coronavirus pandemic,1,car protest,0,0,0,0,1,1,,https://fox5sandiego.com/news/county-workers-rally-for-hazard-pay-during-virus-crisis/,,,,
South Saint Paul,home of Eric Holsen,Dakota,MN,US,2020-05-04,22,22,,22,,,parents and students,against cuts to theater budget,0,car protest,0,0,0,0,1,1,,https://www.twincities.com/2020/05/09/south-st-paul-rallies-to-save-theater-director-from-4-1m-in-school-budget-cuts/,,,,
St. Louis,Blue Circle Rehab and Nursing,St. Louis  ,MO,US,2020-05-04,,,,,,,SEIU Healthcare,for better workplace safety measures in nursing home during coronavirus pandemic,0,protest,0,0,0,0,1,1,,http://www.stlamerican.com/your_health_matters/health_news/nursing-home-workers-protest-working-conditions/article_9de9cd6c-9aee-11ea-ae04-cffb9c181bc2.html,,,,
St. Paul,Children's and United Hospitals,Ramsey,MN,US,2020-05-04,,,,,,,nurses and other front line workers,against lack of personal protective equipment for nurses and other health care workers during coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.twincities.com/2020/05/04/united-hospital-e-r-workers-protest-for-fresh-hospital-issued-scrubs/,,,,
Abbeville,outside School Board,Vermilion Parish,LA,US,2020-05-05,,,,,,,high school students,against format of high school graduation ceremony due to coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.klfy.com/local/vermilion-parish-seniors-and-parents-protest-against-individual-graduations/,,,,
Bakersfield,Kern County Administrative Center,Kern,CA,US,2020-05-05,about 300; about 100,100,,300,,,Kern Liberty Coalition,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.bakersfield.com/news/free-kern-county-rally-demands-reopening-of-businesses-churches/article_fa2d96d0-8f1d-11ea-88b0-8ff330f4d5a4.html,https://www.ridgecrestca.com/news/20200506/free-kern-county-protesters-demand-reopening-in-downtown-bakersfield,,,
Brunswick,,Glynn,GA,US,2020-05-05,more than 100,100,,100,,,community protestors,"against racism, against police violence, for justice for Ahmaud Arbery",1,march,0,0,0,0,1,1,,https://www.news4jax.com/news/local/2020/05/05/fatal-shooting-of-unarmed-black-man-sparks-large-protest-in-brunswick-neighborhood/,https://www.news4jax.com/news/local/2020/05/05/fatal-shooting-of-unarmed-black-man-sparks-large-protest-in-brunswick-neighborhood/,,,
Montgomery,State Capitol,Montgomery,AL,US,2020-05-05,about 60,60,,60,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.cbs42.com/news/health/coronavirus/protesters-once-again-march-on-capitol-steps-demanding-state-to-reopen/,https://www.wsfa.com/2020/05/05/about-protesters-demand-reopening-all-businesses/,,,
Raleigh,North Carolina General Assembly,Wake,NC,US,2020-05-05,about 100,100,,100,,,ReOpen NC,protest shutdown due to Covid 19,2,protest,1,0,0,0,1,1,,https://www.wwaytv3.com/2020/05/05/at-least-one-arrest-made-in-reopen-nc-protest/,,,,
Salem,Glamour Salon,Marion,OR,US,2020-05-05,about 50 to 60,50,,60,,,general protestors,support business owner reopening salon during coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.statesmanjournal.com/story/news/politics/2020/05/05/coronavirus-salem-salon-reopens-defies-gov-kate-brown-order-protesters-show-support-covid-19-oregon/3086037001/,,,,
