CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,Source1,Source2,Source3,Source4,Source5,Source6,
Saint Louis,City Hall,,MO,US,2020-07-08,about 150,150,,150,,,general protesters,agaisnt forced evictions during coronavirus pandemic,0,protest,,,,,1,1,,,https://www.stltoday.com/news/local/crime-and-courts/woman-whose-name-and-address-were-read-by-mayor-leads-protest-in-front-of-city/article_22350efa-2f43-5db1-b5cc-e63688d91087.html,,,,,,
Santa Monica,,,CA,US,2020-07-08,,,,,,,hospitality workers,for better workplace protections for hospitality workers during COVID-19 pandemic,0,protest,,,,,1,1,,,https://www.pasadenastarnews.com/2020/07/08/workers-protest-hotel-reopenings-amid-covid-19-flareups/,,,,,,
Benton,Scott County Courthouse,Scott,MO,US,2020-07-09,,,,,,,family; friends,against alleged wrongful conviction for murder,0,protest,0,0,0,0,1,1,,,https://www.kfvs12.com/2020/07/09/friends-family-protest-what-they-believe-was-wrongful-conviction-scott-county/,,,,,,
El Centro,Outside of the County Child Protective Services building,,CA,US,2020-07-09,,,,,,,general protesters,against child abuse,0,protest,0,0,0,0,1,1,,,https://www.ivpressonline.com/featured/peaceful-protest-against-child-abuse/article_22bf124a-c254-11ea-80b5-7b80f2d23663.html,,,,,,
Fayetteville,Cumberland County Courthouse,,NC,US,2020-07-09,hundreds,200,,200,,,general protester,"in support of police, for patriotism, Thin Blue Line",2,protest,0,0,0,0,1,1,20200709-fayetteville-backtheblue,surrounded and chanted over counter-protesters,https://abc11.com/society/hundreds-march-for-local-law-enforcement-in-fayetteville/6310040/,,,,,,
Grass Valley,Sierra College Drive roundabout,,CA,US,2020-07-09,about a dozen,12,,12,,,general protesters,"against coronavirus mask mandate in schools, for freedom",2,protest,0,0,0,0,1,1,,,https://www.theunion.com/news/no-mask-protesters-gather-on-sierra-college-drive/,,,,,,
Marietta,Larry Bell Park,,GA,US,2020-07-09,,,,,,,teachers; students; families,against reopening schools during coronavirus pandemic,0,protest,,,,,1,1,,,https://www.mdjonline.com/news/group-to-protest-cobb-school-districts-reopening-plans/article_426b76ea-c21f-11ea-a0a2-7b8caf279792.html,,,,,,
Oakland,Mosser's Capital,,CA,US,2020-07-09,,,,,,,tenants,"against showing apartments during coronavirus pandemic, for tenants' rights",0,protest,,,,,1,1,,,https://www.sfchronicle.com/bayarea/article/Oakland-tenants-protest-apartment-tours-during-15398099.php,,,,,,
Oakland,Plaza de la Fuente,,CA,US,2020-07-09,,,,,,,general protesters,pro immigration rights; anti-Trump,1,protest,,,,,1,1,,,https://www.instagram.com/p/CCVi-ljhs31/,,,,,,
Philadelphia,Police Lodge 5,,PA,US,2020-07-09,about 10,10,,10,,,Proud Boys,"against Black Lives Matter, in support of police, for President Trump, All Lives Matter",2,counter-protest,0,0,0,0,1,1,20200709-philly-pence,verbally confronted protesters; mingled with police after Pence speech,https://www.dailykos.com/stories/2020/7/10/1959772/-Proud-Boys-show-up-to-support-Pence-Philly-police-while-harassing-protesters,https://6abc.com/society/philly-fop-facing-criticism-after-controversial-group-attends-rally/6316062/,,,,,
Santa Barbara,Santa Barbara County Sheriff's Office,,CA,US,2020-07-09,,,,,,,general protesters,"in support of police, for patriotism",2,rally,,,,,1,1,,,https://newspress.com/pro-law-enforcement-rally-at-sheriffs-office-headquarters/,,,,,,
Saint George,,,UT,US,2020-07-09,,,,,,,general protesters,against changing Dixie name in Utah,0,protest,,,,,1,1,,,https://www.stgeorgeutah.com/news/archive/2020/07/09/rmw-at-protest-in-support-of-preserving-dixie-crowd-jeers-mayors-speech/#.X4T0Mi2ZOT8,,,,,,
Wall Township,Wall Speedway Stadium,,NJ,US,2020-07-09,300-400,300,,400,,,general protesters,"in support of police, against defunding police, for patriotism, for law and order, We Back Blue, Thin Blue Line",2,rally,,,,,1,1,,,https://www.app.com/story/news/2020/07/09/we-back-blue-hundreds-police-supporters-rally-wall-its-peace-and-love/5407623002/,,,,,,
Windsor,Windsor High School,,CA,US,2020-07-09,a handful,5,,5,,,students,"to prevent school construction project from moving forward, for sustainability",0,direct action,0,0,0,0,1,1,,,http://www.sonomawest.com/the_windsor_times/news/student-protesters-stop-construction-on-whs-project/article_f6b741aa-c243-11ea-b724-3fad20a57ea0.html,,,,,,
Bakersfield,outside army recruiting office,,CA,US,2020-07-10,,,,,,,general protesters,"In honor of soldier Vanessa Guillen, against sexual violence",0,rally,0,0,0,0,1,1,,,https://www.kget.com/news/local-news/local-group-rallies-in-support-of-killed-soldier-vanessa-guillen/,,,,,,
Chicago,streets of downtown,,IL,US,2020-07-10,,,,,,,general protesters,against ICE,1,protest,0,0,0,0,1,1,,,https://www.nbcchicago.com/news/local/watch-live-hundreds-take-part-in-ice-protest-doctors-in-chicago/2303253/,,,,,,
Chicago ,Little Village's main business corridor ,,IL,US,2020-07-10,a few hundred,300,,300,,,general protesters,"for justice for soldier Vanessa Guillen, against sexual violence",0,rally; march,0,0,0,0,0,1,,,https://chicago.suntimes.com/2020/7/10/21320688/little-village-rally-vanessa-guillen-death-sexual-violence-military,,,,,,
Columbia,South Carolina State House,,SC,US,2020-07-10,,,,,,,general proterters,against removal of Confederate flag,2,protest,,,,,1,1,,,https://www.thestate.com/news/politics-government/article244078052.html,,,,,,
Denton,Denton County All-War Memorial,,TX,US,2020-07-10,,,,,,,general protesters,"for justice for soldier Vanessa Guillen, against sexual violence",0,march,0,0,0,0,1,1,,,https://dentonrc.com/news/demonstrators-honor-vanessa-guillen-at-downtown-march/article_21da012e-9002-5248-b51a-894b070c0a45.html,,,,,,
Dyersburg,Madison County Courthouse,,TN,US,2020-07-10,about 20,20,,20,,,general protesters,"against Black Lives Matter protesters, against removal of Confederate monument",2,counter-protest,0,0,0,0,1,1,20200710-dyersburg-confederacy,played loud music and revved motorcycles to drown out protesters; verbally confronted protesters,https://www.jacksonsun.com/story/news/local/2020/07/13/protesters-want-dismantle-racism-counter-protesters-protect-statue/5397806002/,,,,,,
Grand Rapids,outside offices of the Department of Homeland Security,,MI,US,2020-07-10,about 40,40,,40,,,general protesters,"for closing ICE detention centers, for abolishing ICE",1,rally,0,0,0,0,1,1,,,https://www.mlive.com/news/grand-rapids/2020/07/protesters-gather-in-grand-rapids-for-close-the-camps-immigration-rally.html,,,,,,
Greeley,JBS Swift meatpacking plant,,CO,US,2020-07-10,,,,,,,general protesters,for higher pay for JBS plant workers,0,walkout,,,,,1,1,,article specifically notes that the workers' union did not organize and was not aware of the action,https://www.greeleytribune.com/2020/07/10/jbs-employees-walk-off-the-job-over-pay-dispute/?fbclid=IwAR1eGevqxviEzxuHOOC4gwWnRUU6iqFYWzrDo-KUhYFwnBlxwCVn3Ui9qOs,,,,,,
Half Moon Bay,,,CA,US,2020-07-10,,,,,,,Lights for Liberty,"against ICE, against planned ICE raid",1,protest,0,0,0,0,1,1,,,https://www.kqed.org/news/11760989/protesters-throughout-bay-area-rally-against-planned-ice-deportation-raids,,,,,,
Hayward,Army Recruit Center,,CA,US,2020-07-10,,,,,,,general protesters,"seek justice for Vanessa Guillen, against sexual violence",0,protest,,,,,1,1,,,https://www.instagram.com/p/CCUqNexBfxp/,,,,,,
Jeffersonville,pavillion at the base of BIg Four Bridges,,IN,US,2020-07-10,,,,,,,general protesters,"in support of police, Back the Blue",2,rally,,,,,1,1,,,https://www.newsandtribune.com/news/back-the-blue-rally-planned-sunday-in-jeffersonville/article_1a227e88-c1f0-11ea-8f76-6320b645cb29.html,,,,,,
Los Angeles,outside US Rep. Brad Sherman's home,Los Angeles,CA,US,2020-07-10,,,,,,,IfNotNow,against Israeli occupation and annexation of Palestine,1,protest,0,0,0,0,1,1,,,https://twitter.com/IfNotNowOrg/status/1281628752930394117,,,,,,
Los Angeles,outside Metropolitan Transportation Authority headquarters,,CA,US,2020-07-10,,,,,,,general protesters,for hazard pay for transit employees working during COVID 19 pandemic,0,protest,0,0,0,0,1,1,,,https://www.latimes.com/california/story/2020-07-10/la-metro-bus-drivers-hazard-pay-coronavirus-covid19-transit-workers,,,,,,
Miami,AmericanAirlines Arena,Miami-Dade,FL,US,2020-07-10,dozens,24,,24,,,restaurant owners,"against city-mandated closure of indoor dining due to coronavirus pandemic, let us work",0,protest,0,0,0,0,1,1,,,https://wsvn.com/news/local/miami-dade/restaurant-owners-gather-in-downtown-miami-to-protest-mayor-gimenezs-order-to-close-dining-rooms/,,,,,,
Miami,Parking lot in Little Havana to Doral,,FL,US,2020-07-10,,,,,,,general protesters,In support of Biden; against Trump's comments about the Latino community,1,caravan,0,0,0,0,0,1,,,https://wsvn.com/news/politics/local-biden-supporters-hold-caravan-to-protest-trump-administrations-comments-on-latinos/,,,,,,
Minneapolis,Interstate Highway 35W,,MN,US,2020-07-10,"1,500",1500,,1500,,,general protesters,"against government's treatment of Oromo ethnic group in Ethiopia, against killling of Ethiopian activist",0,protest,0,0,0,0,1,1,,,https://www.startribune.com/1-500-shut-down-freeway-briefly-to-protest-ethiopia-s-treatment-of-oromo/571713232/,https://minnesota.cbslocal.com/2020/07/10/demonstrators-block-off-35w-bridge-protesting-killing-of-hachalu-hundessa/,,,,,
Oakland,Frank Ogawa Plaza,,CA,US,2020-07-10,,,,,,,Lights for Liberty,"against ICE, against planned ICE raid",1,protest,0,0,0,0,1,1,,,https://www.kqed.org/news/11760989/protesters-throughout-bay-area-rally-against-planned-ice-deportation-raids,,,,,,
Richmond,Richmond High School; Civic Center,,CA,US,2020-07-10,,,,,,,general protesters,"seek justice for Vanessa Guillen, against sexual violence",1,protest,,,,,1,1,,,https://www.instagram.com/p/CCbhNs-h9Kc/,,,,,,
Saint Paul,444 Maryland Ave,,MN,US,2020-07-10,,,,,,,"Guns Down, Love Up",against gun violence,0,rally,,,,,1,1,,,https://unicornriot.ninja/2020/twin-cities-rallies-call-for-end-to-gun-violence/,,,,,,
San Jose,San Jose City Hall,,CA,US,2020-07-10,about 200,200,,200,,,Lights for Liberty,"against ICE, against planned ICE raid",1,protest,0,0,0,0,1,1,,,https://www.kqed.org/news/11760989/protesters-throughout-bay-area-rally-against-planned-ice-deportation-raids,,,,,,
Sheboygan,County courthouse,,WI,US,2020-07-10,,,,,,,Voces de la Frontera,"against agreement between sheriff's office and ICE, Keep Families Together",1,protest,0,0,0,0,1,1,,,https://www.sheboyganpress.com/picture-gallery/news/local/2020/07/10/people-gathered-near-entrance-sheboygan-county-sheriff-department-protest-ice/5416500002/,,,,,,
Springfield ,529 S. Grant,,MO,US,2020-07-10,,,,,,,general proteesters,against construction of new convenience store in neighborhood,0,protest,0,0,0,0,1,1,,,https://www.ky3.com/2020/07/10/west-central-springfield-neighbors-protest-possible-new-convenience-store/,,,,,,
Springfield,Springfield Library,,OR,US,2020-07-10,nearly 200; approximately 200; about 250; several hundred,200,,300,,,general protesters,"against Black Lives Matter movement, All Lives Matter, for President Trump, for patriotism, for religious freedom, for freedom of enterprise, against coronavirus mask mandates, Blue Lives Matter",2,rally,0,0,0,1,1,1,20200710-springfield-alllivesmatter,some openly carried firearms and knives; scuffled with counter-protesters; physically confronted accordion-playing counter-protester,https://nbc16.com/news/local/counter-protesters-show-up-to-all-live-matter-rally-in-springfield,https://www.klcc.org/social-justice/2020-07-11/friday-night-protests-in-eugene-and-springfield,https://www.registerguard.com/story/news/2020/07/11/some-scuffles-at-all-lives-matter-rally-in-springfield/42017983/,,,,
Taylorsville,Valley Regional Park,,UT,US,2020-07-10,,,,,,,Utahs Citizens' Alarm; Proud Boys,"against Black Lives Matter protests, in support of police, Thin Blue Line",2,demonstration,0,0,0,0,1,1,,organized as counter-protest to Insurgence USA anti-racism event that was canceled; tactical gear; openly carried firearms,https://www.deseret.com/utah/2020/7/10/21320577/utah-citizens-alarm-gathers-as-counter-to-canceled-protest,,,,,,
Washington ,"The Big Chair, 1101 V St SE; Metropolitan Police Department Seventh District Station",,DC,US,2020-07-10,,,,,,,general protesters,"against gun violence, in support of police, for justice for murdered children ",0,rally; caravan,0,0,0,0,1,1,,,https://www.wusa9.com/article/news/local/protests/peace-rally-justice-for-murdered-kids-ask-police-to-solve/65-36ffdd04-d905-4a9a-b7d5-718dcb357583,,,,,,
Abilene,Abiline Police Department,,TX,US,2020-07-11,,,,,,,general protester,"for justice for Vanessa Guillen, against sexual violence",0,rally,,,,,1,1,,,https://www.reporternews.com/story/news/2020/07/09/abilene-army-veteran-organizes-justice-vanessa-guillen-rally-drive-honor-fort-hood-soldier-killed/5405039002/,,,,,,
Abingdon,Washington County Circuit Court; Main St; Abingdon Police Department,,VA,US,2020-07-11,about 45,45,,45,,,general protesters,"in support of police, for patriotism, for freedom, for President Trump, against defunding police, Back the Blue, Thin Blue Line",2,protest,0,0,0,0,1,1,,,https://heraldcourier.com/news/watch-now-protesters-in-abingdon-march-in-support-of-police/article_a78e27c0-72d7-5355-afb2-6a9ae73ff36c.html,,,,,,
Albuquerque,State attorney general's office,,NM,US,2020-07-11,,,,,,,general protesters,for safer conditions for prison inmates during coronavirus pandemic,0,protest,0,0,0,0,1,1,,,https://www.koat.com/article/prisons-protesters-step-up-as-inmate-cases-rise/33281077,,,,,,
Anchorage,Ted Stevens Anchorage International Airport,,AK,US,2020-07-11,,,,,,,general protesters,against Republican Senator Dan Sullivan,1,protest,0,0,0,0,1,1,,,https://abcnews.go.com/Weird/wireStory/alaska-protesters-interrupt-campaign-event-animal-heart-71744049,,,,,,
Atherton,Las Lomitas Elementary,,CA,US,2020-07-11,,,,,,,Commit to Equity,"against economic inequality, for taxing billionaires in California",1,caravan,,,,,1,1,,,https://www.instagram.com/p/CCbvBLbhtD-/,,,,,,
Austin,Metz Neighborhood Park to Edward Rendon Park,,TX,US,2020-07-11,hundreds,200,,200,,,general protesters,"for justice for Vanessa Guillen, against sexual violence",0,march,0,0,0,0,1,1,,,https://www.statesman.com/news/20200712/hundreds-march-mourn-in-east-austin-for-slain-soldier-vanessa-guillen,,,,,,
Charleston,West Virginia State Capitol,,WV,US,2020-07-11,around 100,100,,100,,,Blue Knights Motorcycle Club,"in support of police, Back the Blue, Thin Blue Line",2,rally,0,0,0,0,1,1,20200711-charleston-backtheblue,,https://www.wymt.com/2020/07/13/back-the-blue-wv-rally-held-at-capitol-steps/,,,,,,
Chicago,,,IL,US,2020-07-11,,,,,,,National Women Veterans United,"in honor of Vanessa Guillen, against sexual violence",0,rally,0,0,0,0,1,1,,,https://wgntv.com/news/local-veterans-group-rallies-to-cut-down-abuse-of-women-in-military/,,,,,,
Corpus Christi,Selena statue,,TX,US,2020-07-11,about 40,40,,40,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,https://www.caller.com/picture-gallery/news/local/2020/07/11/trump-supporters-counter-protesters-converge-selena-memorial-statue-corpus-christi/5421720002/,,,,,,
Farmington,Animas Valley Mall; Farmington Museum,,NM,US,2020-07-11,hundreds,200,,200,,,Republican Party of San Juan County; Cowboys for Trump,"against state coronavirus mandates, against Governor Michelle Lujan Grisham, for President Trump, for freedom, for patriotism",2,march,0,0,0,0,1,1,,,https://www.daily-times.com/story/news/local/2020/07/11/freedom-march-protests-public-health-orders-including-mandatory-masks/5415988002//,,,,,,
Fort Worth,Tarrant County Jail,,TX,US,2020-07-11,about a dozen,12,,12,,,general protesters,for investigation of sheriff's office after recent deaths and covid cases in jail,0,protest; car caravan,0,0,0,0,1,1,,,https://www.star-telegram.com/news/local/fort-worth/article244168862.html,,,,,,
Gettysburg,Gettysburg National Military Park,,PA,US,2020-07-11,,,,,,,general protesters,against removal of Confederate monuments,2,protest,0,0,0,0,1,1,,openly carried firearms,https://www.gettysburgtimes.com/news/local/article_55f847fa-4d3f-52f8-a557-8ae053b44519.html,,,,,,
Graham,Courthouse Square,,NC,US,2020-07-11,count video,30,,40,,,ACTBAC,"against Black Lives Matter protest, against removal of Confederate statue, for freedom, Confederate flag, for President Trump, no free colored TVs today, let's get real, we love Terry Johnson",2,counter-protest,0,0,0,0,0,1,20200711-graham-confederacy,rang loud bell throughout protest,https://www.propublica.org/article/small-town-battle-for-racial-justice-confronts-bloody-past-uncertain-future?utm_medium=social&utm_source=twitter,,,,,,
Huntington Beach,,,CA,US,2020-07-11,over 1000,1000,,1000,,,Burn 24/7; Hold the Line,"against restrictions on religious gatherings due to coronavirus pandemic, for religious freedom, know Jesus no mask",2,rally,0,0,0,0,1,1,,Let Us Worship,https://twitter.com/seanfeucht/status/1281817205802295296,https://www.latimes.com/california/story/2020-07-26/outdoor-religious-gatherings-draw-warnings-and-rebukes-from-health-officials,,,,,
Jupiter,Carlin Park,,FL,US,2020-07-11,over 200,200,,200,,,general protesters,"in support of police, for patriotism, defend the police",2,march,0,0,0,0,1,1,,,https://www.wptv.com/news/region-n-palm-beach-county/jupiter/back-the-blue-demonstrators-march-through-jupiter,,,,,,
Killingly,"Davis Park, Danielson Borough",,CT,US,2020-07-11,roughly 300,300,,300,,,United American Patriots,"in support of police, for patriotism, Thin Blue Line",2,rally,0,0,0,0,1,1,20200711-killingly-backtheblue,yelled at counter-protesters; revved motorcycles,https://www.norwichbulletin.com/news/20200711/tempers-flare-at-killingly-pro-police-rally,,,,,,
Livermore,City Hall,,CA,US,2020-07-11,,,,,,,general protesters,"for justice for Vanessa Guillen, against sexual violence",0,march,,,,,1,1,,,https://www.instagram.com/p/CCZsIr_B88D/,,,,,,
Memphis,Armed Forces Recruiting office,,TN,US,2020-07-11,,,,,,,general protesters,"for justice for Vanessa Guillen, against sexual violence",0,march,0,0,0,0,1,1,,,https://www.commercialappeal.com/picture-gallery/news/2020/07/11/vanessa-guillen-protest/5422596002/,,,,,,
Middletown,home of Governor Phil Murphy,,NJ,US,2020-07-11,50,50,,50,,,general protesters,"against state coronavirus mask mandate, against Governor Murphy, against tyranny",2,protest,0,0,0,0,1,1,,,https://www.nj.com/monmouth/2020/07/there-was-a-burn-your-mask-protest-outside-murphys-house-but-apparently-no-masks-were-harmed.html,https://www.nj.com/coronavirus/2020/07/coronavirus-updates-packed-nj-beaches-nj-transit-lifting-capacity-limits-mask-protest-at-murphys-house-what-you-need-to-know-july-14-2020.html,,,,,
Muncie,Muncie City Hall,,IN,US,2020-07-11,more than 50; around 70,50,,70,,,Delaware County Republican Women's Club,"in support of police, for patriotism",2,rally,0,0,0,0,1,1,20200711-muncie-backtheblue,,https://www.thestarpress.com/story/news/local/2020/07/11/muncie-officers-cheered-pro-police-demonstrators/5412517002/,,,,,,
New York,"Bay Ridge, Brooklyn",,NY,US,2020-07-11,several hundred,300,,300,,,local Republican clubs,"in support of police, Back the Blue",2,rally,0,0,0,0,0,0,20200711-brooklyn-backtheblue,scuffled with counter-protesters,https://www.amny.com/news/pro-cop-rallies-in-brooklyn-and-queens-attempt-to-counter-anti-police-sentiment/,,,,,,
New York,"The Rockaways, Queens",,NY,US,2020-07-11,several hundred,300,,300,,,general protesters,"in support of police, against defunding police",2,rally,0,0,0,0,0,0,20200711-queens-backtheblue,,https://www.amny.com/news/pro-cop-rallies-in-brooklyn-and-queens-attempt-to-counter-anti-police-sentiment/,,,,,,
North Canton,The park on South Main Street,,OH,US,2020-07-11,roughly a dozen,12,,12,,,general protesters,against city plan to cut down trees at Bitzer Park,0,protest,0,0,0,0,1,1,,,https://www.the-review.com/story/news/politics/county/2020/07/12/demonstrators-protest-cutting-down-bitzer-park-trees/113366848/,,,,,,
Oakland,599 El Embarcadero,,CA,US,2020-07-11,,,,,,,general protesters,"for justice for Vanessa Guillen, against sexual violence",0,march,,,,,1,1,,,https://www.instagram.com/p/CCaJonRBcvN/,,,,,,
Ogden,Ogden Elementary School,,NC,US,2020-07-11,,,,,,,general protesters,against rezoning on Middle Sound Loop,0,protest,0,0,0,0,1,1,,,https://www.wwaytv3.com/2020/07/11/save-the-loop-dozens-protest-rezoning-on-middle-sound-loop-road/,,,,,,
Oklahoma City,Land Run Monument,,OK,US,2020-07-11,,,,,,,Society to Protect Indigenous Rights & Indigenous Treaties,"for native peoples' rights, for removal of Land Run Monument",1,demonstration,,,,,1,1,20200711-okc-monument,sit-in,https://kfor.com/news/local/indigenous-group-plans-sit-in-calling-for-removal-of-land-run-monument/,,,,,,
Oklahoma City,Land Run Monument,,OK,US,2020-07-11,,,,,,,general protesters,against removal of Land Run Monument that indigenous group considers offensive,2,counter-protest,,,,,0,1,20200711-okc-monument,,https://kfor.com/news/local/group-plans-to-protect-land-run-monument-during-upcoming-protest/,,,,,,
Omaha,Memorial Park,,NE,US,2020-07-11,,,,,,,Proud Boys,"in support of police, for patriotism",2,rally,0,0,0,0,1,1,,Proud Boys did not organize event but were present,https://omaha.com/news/local/back-the-blue-rally-in-omaha-to-show-support-for-law-enforcement/article_2969c8b6-664f-5790-9fbc-58f4ad345f8f.html,https://omaha.com/news/omahas-pro-police-rally-had-uninvited-guests-members-of-nebraska-proud-boys/article_8ec1e47c-3c1f-5d83-8198-2bd2a19d1cd8.html,,,,,
Pasco,Court Street and 20th Avenue,,WA,US,2020-07-11,about 30,30,,30,,,general protesters,"for justice for Vanessa Guillen, against sexual violence",0,rally,0,0,0,0,1,1,,,https://www.tri-cityherald.com/news/local/article244165882.html,,,,,,
Pease,Portsmouth International Airport ,,NC,US,2020-07-11,,,,,,,Donald J. Trump for President,for President Trump,2,rally,,,,,1,1,,,https://www.unionleader.com/news/politics/voters/face-mask-requirements-considered-in-portsmouth-ahead-of-trump-rally/article_0675d0cb-4cbd-5cad-b891-2503624f11d8.html,,,,,,
Philadelphia,La Salle Police Station,,PA,US,2020-07-11,,,,,,,Illinios Grassroots Team Trump 2020,"for police, for President Trump",2,rally,,,,,1,1,20200711-philly-backtheblue,,https://www.mywebtimes.com/2020/07/07/back-the-blue-rally-and-parade-planned-saturday-in-la-salle-black-lives-matter-plans-march-too/a2hksnv/,,,,,,
Pittsburgh,Freedom corner to Duquesne campus,,PA,US,2020-07-11,dozens,24,,24,,,general protesters,"for justice for Jaylen Brown, for body cameras for Duquesne University police, for mental health crisis intervention training for police and first responders",0,march; hunger strike,0,0,0,0,1,1,,,https://www.wtae.com/article/march-for-justice-protesters-march-for-answers-in-marquis-brown-case/33284627,,,,,,
Portsmouth,Portsmouth International Airport at Pease,Rockingham,NH,US,2020-07-11,,,,,,,Donald J. Trump for President,for President Trump,2,rally,,,,,1,1,,,https://www.unionleader.com/news/health/coronavirus/sununu-will-greet-trump-but-pass-on-rally/article_1926a686-2a9c-574a-ac10-80311d6e3057.html?block_id=664693,https://www.unionleader.com/news/politics/voters/face-mask-requirements-considered-in-portsmouth-ahead-of-trump-rally/article_0675d0cb-4cbd-5cad-b891-2503624f11d8.html?block_id=897573,,,,,
Rogersville,Hawkins County Courthouse,,TN,US,2020-07-11,over 200,200,,200,,,general protesters,against Black Lives Matter protesters,2,counter-protest,9,0,0,0,1,1,20200711-rogersville-blm,yelled profanity and racial slurs at protesters; scuffled among themselves; some were members of unidentified white supremacist group,https://www.timesnews.net/news/nine-arrested-at-rogersville-blm-protest-for-disorderly-conduct-appear-in-court/article_de57bb28-c552-11ea-bb61-2fae197fbb52.html,,,,,,
Sacramento,Cesar Chavez,,CA,US,2020-07-11,,,,,,,general protesters,"for justice for Vanessa Guillen, against sexual violence",0,protest,,,,,1,1,,,https://www.instagram.com/p/CCSxiaDBlfv/,,,,,,
Salem,Oregon State Capitol,,OR,US,2020-07-11,a few dozen,36,,36,,,general protesters,"in support of police, All Lives Matter, for President Trump",2,counter-protest,0,0,0,0,1,1,20200711-salem-blm,"organized by Joey Nations; some interactions with protesters, mostly cordial",https://www.statesmanjournal.com/story/news/2020/07/11/salem-oregon-capitol-protests-black-lives-matter-rally-police/5420691002/,https://www.salemreporter.com/posts/2657/capitol-will-be-busy-on-saturday-two-rallies-with-differing-views-of-police,,,,,
Salem,Oregon State Capitol,,OR,US,2020-07-11,,,,,,,Oregon Women for Trump,"for President Trump, for patriotism",2,rally; march,0,0,0,0,1,1,,,https://www.statesmanjournal.com/story/news/2020/07/11/salem-oregon-capitol-protests-black-lives-matter-rally-police/5420691002/,,,,,,
Sandy,Centennial Plaza,,OR,US,2020-07-11,,,,,,,Sandy Backs the Blue,"in support of police, Blue Lives Matter",2,rally,0,0,0,0,1,1,,,https://pamplinmedia.com/sp/68-news/473236-382494-sandy-residents-show-support-for-police,,,,,,
Savannah,Yamacraw Village church,,GA,US,2020-07-11,at least 60,60,,60,,,general protesters,against gun violence,0,rally,0,0,0,0,1,1,,,https://www.savannahnow.com/news/20200711/diverse-faces-of-savannah-come-together-for-rally-against-violence,,,,,,
Sikeston,,,MO,US,2020-07-11,hundreds,200,,200,,,general protesters,against gun violence,0,march,0,0,0,0,1,1,,,https://www.kfvs12.com/2020/07/11/hundreds-march-stop-violence-sikeston/,,,,,,
Stuart,Monterey Road and US 1,,FL,US,2020-07-11,more than 100,100,,100,,,general protesters,"against county coronavirus mask mandate, against government overreach, for President Trump, I will not comply",2,rally,0,0,0,0,1,1,,,https://www.tcpalm.com/picture-gallery/news/local/martin-county/2020/07/11/martin-county-residents-hold-i-not-comply-protest-against-mandatory-masks/5420752002/,,,,,,
Tampa,,,FL,US,2020-07-11,,,,,,,USF Graduate Assistants United,for better wages and benefits for graduate student assistants at the University of South Florida,0,protest,,,,,1,1,,,https://www.floridaphoenix.com/blog/usf-grad-assistants-to-protest-stalled-contract-talks-amid-covid-reopening-planning/,,,,,,
Windermere,outside a Windermere grilled cheese restaurant (33 & Melt),,FL,US,2020-07-11,dozens,24,,24,,,general protesters,"in support of restaurant owner who promised to serve customers not complying with county coronavirus mask mandate, for medical freedom",2,protest,,,,,1,1,,Owner promised free meals to customers who wore no masks,https://www.wftv.com/news/local/dont-shut-her-down-anti-mask-protesters-rally-behind-windermere-restaurant-after-owner-says-she-wouldnt-require-face-masks/Y5AALAZIGVBIHKDITKBW5454GY/,,,,,,
Winston-Salem,North Cherry St; Winston Square Park,,NC,US,2020-07-11,,,,,,,general protesters,"in support of police, Back the Blue, Thin Blue Line",2,march,0,0,0,0,1,1,,,https://myfox8.com/news/demonstrators-in-winston-salem-hold-back-the-blue-rally-in-support-of-law-enforcement/,,,,,,
Woodstock,,,IL,US,2020-07-11,,,,,,,general protesters,"against county contract with ICE, for abolishing ICE",1,caravan,0,0,0,0,1,1,,,https://www.nwherald.com/2020/07/11/car-caravan-protesting-ice-held-in-woodstock/awty8ir/,,,,,,
Woodstock,Woodstock Union High School,,VT,US,2020-07-11,,,,,,,Women for a Change,for Molly Gray for lieutenant governor,1,car rally,,,,,1,1,,,https://vtdigger.org/press_release/vt-lt-gov-candidate-molly-gray-to-speak-saturday-at-car-rally-hosted-by-women-for-change-in-woodstock/,,,,,,
Charleston,The Battery,,SC,US,2020-07-12,,,,,,,Flags Across the South,against removal of Confederate monument,2,rally,,,,,1,1,,,https://www.live5news.com/2020/07/08/police-chief-tells-people-who-plan-protest-downtown-sunday-leave-their-weapons-home/,,,,,,
College Station,Texas A&M University,,TX,US,2020-07-12,,,,,,,general protesters,"against removal of Confederate monument from Texas A&M University campus, All LIves Matter",2,counter-protest,0,0,0,0,0,1,20200712-txaandm-confederacy,surrounded monument; verbal clashes with protesters,https://www.washingtonpost.com/education/2020/09/08/debates-over-race-history-values-challenge-texas-am-campuses-student-body-diversifies/?hpid=hp_hp-top-table-low_collegerace-252pm%3Ahomepage%2Fstory-ans,https://www.kxxv.com/hometown/brazos-county/protesters-for-and-against-sully-statue-collide-on-texas-a-m-campus,,,,,
