CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Staten Island,Outside Spectrum store,NY,US,2017-05-19,over 100,100,,100,,,Electrical workers union,protesting Spectrum's employee conditions,0,protest,0,0,0,0,1,1,http://www.silive.com/news/2017/05/local_3_union_strikes_against.html,,,
Augusta,capitol,ME,US,2017-05-20,a small group,,,,,,Families for Treatment of Serious Mental Illness,rally for change in mental health care,0,rally,0,0,0,0,1,1,http://www.centralmaine.com/2017/05/20/small-group-gathers-in-augusta-to-rally-for-changes-to-mental-health-care-system/,,,
Boston,Boston Common,MA,US,2017-05-20,more than 4000,4000,,4000,,,general protestors,protesting eductaion cuts in Trump's budget,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/05/20/more-than-rally-oppose-education-cuts/riSR1gngNE99gN6vBdpjBK/story.html,,,
Butte,Civic Center,MT,US,2017-05-20,,,,,,,general protestors; Butte Area Rising Coalition ,B Sanders rally for candidate Rob Quist,1,rally,,,,,1,1,http://mtstandard.com/news/opinion/guest/local-coalition-leading-charge-of-protests/article_591079f3-1c3e-5d7c-b1c9-4f670e74da34.html,,,
Chicago,Chicago's South side,IL,US,2017-05-20,hundreds,200,,200,,,New Live Covenant Church,peace march; to end city's gun violence,0,march; vigil,0,0,0,0,1,1,http://www.nbcchicago.com/news/local/peace-march-on-south-side-draws-hundreds-despite-rainy-conditions-423404784.html,,,
Grove City,downtown,PA,US,2017-05-20,hundreds,200,,200,,,general protesting,Protesting VP Pence's visit,1,protest,0,0,0,0,1,1,http://www.wfmj.com/story/35478184/protesters-rally-against-vice-president-during-visit-to-grove-city,,,
Grove City,downtown,PA,US,2017-05-20,hundreds,200,,200,,,general protesting,rallying for VP Pence's visit,2,rally,0,0,0,0,1,1,http://www.wfmj.com/story/35478184/protesters-rally-against-vice-president-during-visit-to-grove-city,,,
Houston,Discovery Green,TX,US,2017-05-20,more than 150 ,150,,,,,general protestors,Black Lives Matter,1,protest,,,,,0,1,http://www.chron.com/local/article/Activists-protest-against-HPD-s-enforcement-of-SB4-11161354.php,http://www.chron.com/news/houston-texas/article/Black-Lives-Matter-march-draws-more-than-100-as-11161750.php,,
Houston,in front of the Houston Police Department headquarters downtown,TX,US,2017-05-20,,,,,,,general protestors,against new TX anti-sanctuary city law,1,protest,0,0,0,0,1,1,http://www.chron.com/local/article/Activists-protest-against-HPD-s-enforcement-of-SB4-11161354.php,,,
Lancaster,the courthouse steps and spilled into part of King Street,PA,US,2017-05-20,hundreds,200,,200,,,NAACP Lancaster and area faith groups,anti-racism; anti-KKK,0,protest,0,0,0,0,1,1,http://www.witf.org/news/2017/05/lancaster-rally-draws-250-people-to-protest-planned-cross-burning.php,,,
Memphis,Overton Square,TN,US,2017-05-20,several dozen,36,,36,,,Memphis Coalition of Concerned Citizens,highlight problems in city; anti-racism,0,protest; skits,0,0,0,0,1,1,https://www.memphisdailynews.com/news/2017/may/20/barbecue-decoy-surfaces-as-overton-square-protest-1/,,,
Missoula,University of Montana campus,MT,US,2017-05-20,about 3500,3500,,3500,,,general protestors,Bernie Sanders' rally for Rob Quist,0,rally,0,0,0,0,1,1,http://www.bozemandailychronicle.com/ap_news/montana/bernie-sanders-rallies-montana-voters-to-support-rob-quist/article_979dbd54-01b6-5580-8653-bfe31f4de160.html,,,
New York,"Brighton Beach, Brooklyn",NY,US,2017-05-20,,,,,,,general protestors,for LGBTQ+ pride,1,rally,,,,,1,1,https://www.riseandresist.org/past-actions,,,
Pomona,,,US,2017-05-20,,,,,,,Kennedy Austin Foundation,Million Mothers March,0,march,,,,,1,1,http://www.dailybulletin.com/social-affairs/20170518/why-mothers-will-march-in-pomona-on-saturday,,,
Pompano Beach,Pompona Beach,FL,US,2017-05-20,dozens,24,,24,,,general protestors,protesting off-shore drilling,0,protest,0,0,0,0,1,1,http://wsvn.com/news/local/dozens-hold-hands-on-pompano-beach-to-protest-offshore-drilling/,,,
Sacramento,Gov. Jerry Brown's downtown Sacramento mansion,CA,US,2017-05-20,a few dozen,36,,26,,,members of Democratic Party; general protestors,the Delegates Against Dirty Money march; anti-oil money,0,march,0,0,0,0,1,1,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-progressives-bent-on-flushing-oil-money-1495332466-htmlstory.html,,,
San Diego,Ruocca Park downtown,CA,US,2017-05-20,,,,,,,veterans,Veterans March on America,0,march,,,,,1,1,http://www.sandiegouniontribune.com/military/veterans/sd-me-veterans-march-20170518-story.html,,,
Tulsa,intersection of Main and Third Streets,OK,US,2017-05-20,about 10,10,,10,,,general protestors,protest against the acquittal of a white police officer in a police shooting,0,protest; die-in,0,0,0,0,1,1,http://www.tulsaworld.com/homepagelatest/group-feigns-death-at-mayfest-to-protest-betty-shelby-verdict/article_447eb337-883e-5cab-bdfa-d4897342b4e3.html,,,
Washington,,DC,US,2017-05-20,,,,,,,general protestors; Operation Stand Together,The March Against Monsanto; anti-GMO; anti-herbicide,0,protest,,,,,1,1,https://www.benzinga.com/pressreleases/17/05/p9473275/march-against-monsanto-gears-up-for-sixth-global-protest-amid-epa-cance,,,
Cedar Rapids,,IA,US,2017-05-21,about 12,12,,12,,,general protestors,anti-AHCA; health care,1,rally;protest,0,0,0,0,1,1,http://www.thegazette.com/subject/news/health/cedar-rapids-rally-calls-for-medicare-for-all-20170521,,,
Dubuque,,IA,US,2017-05-21,about 40,40,,40,,,general protestors,medicare for all,1,rally; protest,0,0,0,0,1,1,http://www.kcrg.com/content/news/Medicare-for-all-rally-held-in-Dubuque-423514753.html,,,
Neligh,in field just north of Neligh,NE,US,2017-05-21,,,,,,,"activists, farmers, tribal leaders and members of the Cowboy-Indian Alliance",against Keystone pipeline,1,protest; planting,0,0,0,0,1,1,http://www.1011now.com/content/news/Planting-a-symbolic-protest-to-the-Keystone-XL-pipeline-423528393.html,,,
Oakland Park,outside U.S. citizenship/immigration building,FL,US,2017-05-21,,,,,,,general protesting,rally for Haitian immigrants,0,protest; rally,0,0,0,0,1,1,http://wsvn.com/news/local/protesters-rally-for-haitian-nationals-to-remain-in-us/,,,
South Bend,Notre Dame Commencement,IN,US,2017-05-21,more than 100 students; dozens,100,,150,,,We StaND For; graduating seniors,walkout during VP Mike Pence commencement address,1,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/nation-now/2017/05/21/mike-pence-notre-dame-speech/335083001/,https://www.washingtonpost.com/news/answer-sheet/wp/2017/05/21/protesting-notre-dame-students-walk-out-of-mike-pences-commencement-speech/?utm_term=.4550917d39b8,http://www.southbendtribune.com/news/politics/students-crowds-protesters-line-up-for-notre-dame-commencement-and/article_20104834-3e2c-11e7-8a0c-bfe8e6db6fff.html,https://www.washingtonpost.com/news/answer-sheet/wp/2017/05/17/notre-dame-students-plan-to-protest-against-mike-pence-at-commencement-and-the-university-is-okay-with-it/?utm_term=.763402a8f22f
South Bend,south of Notre Dame campus,IN,US,2017-05-21,dozens; about 300,100,,300,,,"We StaND For; South Bend Equality; We Go High! of St. Joe County, IN; Michiana Alliance for Democracy; Alliance for Democracy; the Nu Black Power Movement; Inclusive Michiana; Planned Parenthood of Indiana & Kentucky; and the IWW Local 26",against VP Mike Pence in solidarity with walk-out graduates,1,protest,0,0,0,0,0,1,https://www.usatoday.com/story/news/nation-now/2017/05/21/mike-pence-notre-dame-speech/335083001/,,https://www.washingtonpost.com/news/answer-sheet/wp/2017/05/17/notre-dame-students-plan-to-protest-against-mike-pence-at-commencement-and-the-university-is-okay-with-it/?utm_term=.763402a8f22f,
Binghamton ,outside US Rep Claudia Tenney's office,NY,US,2017-05-22,,,,,,,general protestors,demand town hall meeting; anti-ACHA,1,protest,0,0,0,0,1,1,http://www.wbng.com/story/35490220/protesters-call-on-tenney-to-meet-with-constituents,,,
Champaign,Mellon Administration Building,IL,US,2017-05-22,more than 100; about 60,60,,100,,,general protestors,protesting firing of a school janitor,0,protest;rally,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2017-05-22/dismissal-champaign-schools-facilities-director-draws-protest.html,,,
Chicago,Levi Hall; University of Chicago,IL,US,2017-05-22,around 50,50,,50,,,African Caribbean Students Association; Arab Student Association; Movimiento Estudiantil Chicanx de Aztlan; Organization of Black Students; Organization of Latin American Students; PanAsia Solidarity Coalition,make campus better for minority students,0,rally,0,0,0,0,1,1,https://www.chicagomaroon.com/article/2017/5/23/students-protest-fiji-present-petition-demand-rall/,,,
Columbus,Columbus City Hall,OH,US,2017-05-22,about 100,100,,100,,,People's Justice Project,protesting gun violence,0,protest,0,0,0,0,1,1,http://nbc4i.com/2017/05/22/protesters-march-to-columbus-city-hall/,,,
Harrisburg,State Capitol building,PA,US,2017-05-22,,23,,200,,,March on Harrisburg,"protesting gifts, political graft, corruption, and gerrymandering",0,protest,23,0,0,0,1,1,http://www.philly.com/philly/news/politics/state/protest-arrest-harrisburg-lobbyists-gifts.html,http://fox43.com/2017/05/23/23-arrested-in-pa-capitol-protest/,,
Kalamazoo,outside Kalamazoo Central High School,MI,US,2017-05-22,about 25,25,,25,,,Michigan Coalition Against Racism in Sports and Media,against use of term Redskin as sports team nickname,0,protest,0,0,0,0,1,1,http://www.mlive.com/news/kalamazoo/index.ssf/2017/05/use_of_redskins_name_draws_pro.html,http://wwmt.com/news/local/protesters-campaign-against-paw-paw-mascot-at-k-central-baseball-game,,
Menomonie,Menomonie High School,WI,US,2017-05-22,about 40,40,,40,,,students,protesting racist message,0,protest,0,0,0,0,1,1,http://www.leadertelegram.com/News/Front-Page/2017/05/22/Standingfor-equality.html,,,
New Haven,Yale Commencement; march down Dixwell Avenue,CT,US,2017-05-22,up to 1000; some 1500,1000,,1500,,,UNITE Here; Local 33,against Yale's refusal to engage in collective bargaining process for unionization of graduate students,1,protest,0,0,0,0,1,1,http://www.newhavenindependent.org/index.php/archives/entry/yale_day/,http://wnpr.org/post/yale-graduate-students-hold-peaceful-protest-and-end-hunger-strike,,
Newington,Shattuck Way; in front of Westinghouse Electric Company ,NH,US,2017-05-22,about 30,30,,30,,,Local 651 labor union,against lockout,0,protest,0,0,0,0,1,1,http://www.fosters.com/news/20170522/workers-protest-lockout-at-westinghouse,,,
Prospect Heights,River Trails condominiums,IL,US,2017-05-22,,,,,,,Residents of the River Trails condominiums,against sale of complex to new developer,0,protest,0,0,0,0,1,1,http://www.dailyherald.com/news/20170522/prospect-heights-residents-protest-plans-to-convert-condos-to-apartments,,,
Royal Oak,Royal Oak City Hall,MI,US,2017-05-22,more than 100,100,,100,,,general protesting,protesting budget which requires residents to pay for sidewalks,0,protest,0,0,0,0,1,1,http://www.theoaklandpress.com/general-news/20170523/royal-oak-neighbors-protest-city-order-to-install-sidewalks,,,
San Antonio,The Alamo,TX,US,2017-05-22,dozens,24,,24,,,War Affected Minds Group,to remember Fallen Firefighter Scott Deem,0,march; vigil,0,0,0,0,1,1,http://foxsanantonio.com/news/local/dozens-march-through-downtown-to-remember-ff-scott-deem,,,
Chicago,Chicago's Trump Tower,IL,US,2017-05-23,thousands,2000,,2000,,,Fight for 15,"against McDonald's, for increase in minimum wage and union rights",1,march,0,0,0,0,0,1,https://www.commondreams.org/news/2017/05/23/massive-march-mcdonalds-takes-donald-trump-corporations,,,
Chicago,Daley Plaza,IL,US,2017-05-23,hundreds ,200,,200,,,low wage workers,for increase in minimum wage,0,march,0,0,0,0,1,1,http://abc7chicago.com/news/workers-march-in-chicago-for-hike-in-minimum-wage/2028155/,,,
Gainesville,downtown,FL,US,2017-05-23,dozens,24,,24,,,general protestors,protect confederate statue,0,protest,0,0,0,0,1,1,http://www.wcjb.com/local-news/2017/05/fate-confederate-soldier-statue-yields-protest,,,
Gainesville,downtown,FL,US,2017-05-23,(see above),,,,,,general protestors,take down confederate statue,0,protest,0,0,0,0,0,1,http://www.wcjb.com/local-news/2017/05/fate-confederate-soldier-statue-yields-protest,,,
Seattle,Fremont neighborhood,WA,US,2017-05-23,,,,,,,pilots,pay increase from Amazon,0,protest,0,0,0,0,1,1,http://www.cnbc.com/2017/05/23/amazons-shareholders-meeting-protest-in-pictures.html,http://www.cnbc.com/2017/05/22/amazon-shareholders-meeting-protest-prime-air-pilots.html,,
Seattle,Fremont neighborhood,WA,US,2017-05-23,,,,,,,general protestors,anti-hate; opposed to  Amazon's continued advertisements on right-wing website Breitbart,1,protest,0,0,0,0,0,1,http://www.cnbc.com/2017/05/23/amazons-shareholders-meeting-protest-in-pictures.html,,,
Seattle,Fremont neighborhood,WA,US,2017-05-23,,,,,,,general protestors,protest Amazon employment practices,0,protest,0,0,0,0,0,1,http://www.cnbc.com/2017/05/23/amazons-shareholders-meeting-protest-in-pictures.html,,,
Sheboygan,Outside a local school,MI,US,2017-05-23,about 85,85,,85,,,general protestors,immigrants rights protests,1,protest,0,0,0,0,1,1,http://www.sheboyganpress.com/story/news/2017/05/23/immigration-activists-rally-sasd-meeting/102079448/,,,
St. Louis,Forest Park,MO,US,2017-05-23,,,,,,,general protestors,protect confederate statue,0,protest,0,0,0,0,1,1,http://www.stltoday.com/news/local/metro/protesters-on-both-sides-square-off-at-confederate-statue-in/article_8bf37f5e-3a8c-5a68-b69d-5ec0ed271d4b.html,,,
St. Louis,Forest Park,MO,US,2017-05-23,,,,,,,general protestors,take down confederate statue,0,protest,0,0,0,0,0,1,http://www.stltoday.com/news/local/metro/protesters-on-both-sides-square-off-at-confederate-statue-in/article_8bf37f5e-3a8c-5a68-b69d-5ec0ed271d4b.html,,,
Vista,1800 Thibodo Rd,CA,US,2017-05-23,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,
Vista,1800 Thibodo Rd.,CA,US,2017-05-23,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,
Boston,Boston Common,MA,US,2017-05-24,,,,,,,EPA employees in New England,march and rally protesting federal budget cuts to Environmental Protection Agency (EPA),1,march; rally,,,,,1,1,http://boston.cbslocal.com/2017/05/21/epa-protest-boston-environmental-budget-cuts-new-england/,,,
Buffalo,Erie County Holding Center,NY,US,2017-05-24,,,,,,,Showing Up for Racial Justice in Buffalo,against Erie County Sheriff Timothy B. Howard's management of the county's jails and his appearance at a pro-Trump rally.,1,protest,5,0,0,0,0,1,http://buffalonews.com/2017/05/24/nine-arrested-two-protests-erie-county-sheriff/,,,
Buffalo,Outside Erie County Holding Center,NY,US,2017-05-24,na,70,,70,,,Showing Up for Racial Justice in Buffalo,against Erie County Sheriff Timothy B. Howard's management of the county's jails and his appearance at a pro-Trump rally.,1,protest,0,0,0,0,0,1,http://buffalonews.com/2017/05/24/nine-arrested-two-protests-erie-county-sheriff/,,,
Buffalo,Sheriff's office building on Delaware Avenue,NY,US,2017-05-24,,,,,,,Showing Up for Racial Justice in Buffalo,against Erie County Sheriff Timothy B. Howard's management of the county's jails and his appearance at a pro-Trump rally.,1,protest,4,0,0,0,1,1,http://buffalonews.com/2017/05/24/nine-arrested-two-protests-erie-county-sheriff/,,,
Chicago,"United Airlines shareholder meeting, Willis Tower",IL,US,2017-05-24,na,30,,30,,,Airport employees,higher wages,0,rally,30,0,0,0,1,1,http://www.oleantimesherald.com/united-airlines-protesters-arrested-in-chicago/youtube_9a973b9f-1eb6-5fb7-878e-70a7b1a96a53.html,,,
Dayton ,School Board Meeting,OH,US,2017-05-24,more than 100,100,,100,,,Dayton Public School teachers,Protesting school board decisions,0,protest; walk-out,0,0,0,0,1,1,http://www.mydaytondailynews.com/news/breaking-news/dps-teachers-cite-some-progress-union-rallies-again/U75WTbnzGz3s81bMnJcHrN/,,,
Las Vegas,Intersection of Sahara Avenue and Paseo Del Prado,NV,US,2017-05-24,more than 2 dozen,24,,24,,,general protest,fight for 15,1,protest,0,0,0,0,1,1,https://lasvegassun.com/news/2017/may/24/las-vegas-rally-for-minimum-wage-hike-part-of-nati/,,,
Louisville,Omni Louisville construction,KY,US,2017-05-24,roughly 100,100,,100,,,Construction workers at the Omni Louisville Hotel,against low wages,0,protest,0,0,0,0,1,1,https://insiderlouisville.com/business/construction-workers-walk-off-omni-louisville-site-protesting-wage-discrepency/,,,
Miskawaka,Rep. Jackie Walorski's office,IN,US,2017-05-24,dozens,24,,24,,,general protestors,against Rep. Jackie Walorski's support of AHCA,1,protest; die-in,0,0,0,0,1,1,http://www.southbendtribune.com/multimedia/photos/photos-die-in-protest-at-rep-walorski-s-office/collection_96f860a6-40d6-11e7-bd3e-175716308594.html#3,,,
Mohegan Lake,Hudson Valley Islamic Community Center,NY,US,2017-05-24,more than 100,100,,100,,,residents of Mohegan Lake,rally for solidarity for immigrants,1,rally,0,0,0,0,1,1,http://westchester.news12.com/story/35511698/immigrant-solidarity-rally-held-in-mohegan-lake,,,
Mount Pleasant,statewide march,MI,US,2017-05-24,three,3,,3,,,Michigan Residents,Month-long walk to protest water issues in MI,0,march;protest,0,0,0,0,3+,1,http://www.themorningsun.com/general-news/20170524/water-protesters-walking-through-michigan-come-through-alma,,,
New York,NFL Park Avenue Headquarters,NY,US,2017-05-24,60,60,,60,,,100 Suits for 100 Men; anti-police brutality activists; Black Lives Matter chapters,in support of Colin Kaepernick and free speech,0,rally,0,0,0,0,1,1,https://www.thenation.com/article/rally-colin-kaepernick-free-speech/,,,
Oak Brook,McDonald's headquarters,IL,US,2017-05-24,hundreds,300,,300,,,"Fight for 15, groups opposed to Donald Trump",support for higher minimum wage,1,march; rally,0,0,0,0,1,1,https://www.reuters.com/article/us-usa-wages-protest-idUSKBN18K2EB,http://www.chicagotribune.com/business/ct-mcdonalds-annual-meeting-0525-biz-20170524-story.html,,
Olympia,Evergreen State College,WA,US,2017-05-24,hundreds,200,,200,,,Students,against institutional racism at the college,1,protest; rally,0,0,0,0,1,1,http://www.theolympian.com/news/local/education/article152491379.html,,,
Port Allen,Cajun industries,LA,US,2017-05-24,,,,,,,Louisiana Republican Party,pro-Pence; pro-jobs,2,rally,,,,,1,1,http://www.politico.com/story/2017/05/23/mike-pence-rally-louisiana-238742,,,
St. Paul,State Capitol building,MN,US,2017-05-24,hundreds,200,,200,,,general protestors,against cuts to the state budget,1,protest,0,0,0,0,1,1,http://www.wdaz.com/news/4272700-minnesota-lawmakers-plan-wrap-special-session-thursday-hundreds-protest,,,
Atlanta,outside US Immigration and Customs Enforcement’s downtown offices,GA,US,2017-05-25,,,,,,,general protestors,called for the closure of several immigration detention centers in Georgia,1,protest,0,0,0,0,1,1,http://www.ajc.com/news/breaking-news/protesters-shut-down-ice-detention-centers-georgia/udhTwSAw60c5XcmrpguNPP/,,,
Bay City,Wenonah Park,MI,US,2017-05-25,dozens,24,,24,,,general protestors,rally for legalization of marijuana,0,rally,0,0,0,0,1,1,http://www.mlive.com/news/bay-city/index.ssf/2017/05/rally_for_recreational_use_of.html,,,
Brewer,at the Cianbro Eastern Manufacturing plant,ME,US,2017-05-25,,,,,,,general protestors,oppose Trump cuts to EPA budget,1,protest,0,0,0,0,1,1,http://www.wlbz2.com/news/local/environmental-activiists-protest-trumps-proposed-epa-cuts/443008207,,,
Glens Falls,Outside Rep. Stefanik's office,NY,US,2017-05-25,,,,,,,general protestors,protesting her support for AHCA,1,protest,0,0,0,0,1,1,http://www.saratogian.com/government-and-politics/20170525/residents-protest-stefaniks-healthcare-vote,,,
Hamilton,Outside Hamilton Conty Courthouse,OH,US,2017-05-25,about 40,40,,40,,,Black Lives Matter;NAACP,calling for conviction of a police officer in shooting,0,protest;rally,0,0,0,0,1,1,http://www.cincinnati.com/story/news/2017/05/25/protesters-convict-tensing-time-no-excuses/346494001/,,,
Los Angeles,Cortines School of Visual and Performing Arts,CA,US,2017-05-25,perhaps more than 100,100,,100,,,students,oppose how rape charge was handled by school,0,walkout,0,0,0,0,1,1,http://www.latimes.com/local/education/la-me-edu-walkout-over-alleged-rape-20170526-story.html,,,
Marquette,Marquette Commons,MI,US,2017-05-25,over 300,300,,300,,,Pathways Community Mental Health,Walk a Mile in My Shoes rally,0,walk; rally,0,0,0,0,1,1,http://www.uppermichiganssource.com/content/news/Walk-a-Mile-in-My-Shoes-rally-424436244.html,,,
