CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,S1,S2
Bridgeport,University of Bridgeport,CT,US,2018-10-03,,,,,,,Center of Family Justice,domestic violence awareness,0,vigil,0,0,0,0,1,1,http://connecticut.news12.com/story/39226202/domestic-violence-awareness-vigil-held-at-university-of-bridgeport,,,,3,
Charleston,,WV,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/annagalland/status/1047643106865307648,,,,3,
Clayton,outside US Roy Blunt office,MO,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/staceynewman/status/1047669226918559749,,,,3,
Coupeville ,Historic Crockett Barn ,WA,US,2018-10-03,nearly 500,500,,500,,,general protestors ,protesting the noise of the Naval Air Station's pratice flights ,0,protest,0,0,0,0,1,1,http://www.southwhidbeyrecord.com/news/hundreds-rally-against-jet-noise/,,,,,
Delhi,Across from US Rep John Faso’s Office at Courthouse Square,NY,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81501/signup/?source=&akid=&zip=&s=,,,,5,
Denver,US Sen. Cory Gardner's office,CO,US,2018-10-03,roughly 100,100,,100,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,0,0,0,0,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81628/signup/?source=&akid=&zip=&s=,https://kdvr.com/2018/10/06/protesters-rally-outside-sen-cory-gardners-denver-office-ahead-of-kavanaugh-vote/,,,5,
Fargo,outside US Sen. Heidi Heitkamp's Office,ND,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81641/signup/?source=&akid=&zip=&s=,,,,5,
Hillsboro,outside of Pacific University ,OR,US,2018-10-03,about 40,40,,40,,,several immigrant rights activist groups,to oppose ballot measure that repeals Oregon's status as a sanctuary state,1,march,0,0,0,0,1,1,https://pamplinmedia.com/fgnt/36-news/408242-307280-protest-march-makes-stop-in-forest-grove-hillsboro-,,,,,
Huntington,Huntington Village NW Corner of Park Ave & Main st.,NY,US,2018-10-03,,,,,,,general protestors,against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81732/signup/?source=&akid=&zip=&s=,,,,5,
Indianapolis,outside US Sen. Joe Donnelly's Office,IN,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81639/signup/?source=&akid=&zip=&s=,,,,5,
Las Vegas,US Sen Dean Heller's Office,NV,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81629/signup/?source=&akid=&zip=&s=,,,,5,
Lopez,,WA,US,2018-10-03,,,,,,,general protestors,against Navy exercises,1,protest,0,0,0,0,1,1,onsite eyewitness,,,,,
Los Angeles,Echo Park,CA,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/kulsoomtweets/status/1047668781219074048,,,,3,
Los Angeles,Hall of Justice,CA,US,2018-10-03,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Madison,Lady Forward Statue at the Wisconsin State Capitol,WI,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81642/signup/?source=&akid=&zip=&s=,,,,5,
Milwaukee ,,WI,US,2018-10-03,about 100,100,,100,,,general protesters ,protesting the minimum wage; demanding it be raised to $15 an hour,0,demonstration,15,0,0,0,1,1,https://www.weau.com/content/news/At-least-15-arrests-at-minimum-wage-demonstration-495081631.html,,,,,
Minneapolis,Northrop Plaza at the University of Minnesota,MN,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81602/signup/?source=&akid=&zip=&s=,,,,5,
Minot,,ND,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/annagalland/status/1047643106865307648,,,,3,
Morgantown,,WV,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/BarryLeeWendell/status/1047673849884680193,,,,3,
New York,Brooklyn; Kings County Supreme Court,NY,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81617/signup/?source=&akid=&zip=&s=,,,,3,(led to MoveOn site with others listed)
New York,Washington Sq Park,NY,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/tartnyc/status/1047673401802985472,,,,3,
Novato,,CA,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/MonicaM5519/status/1047670216698683393,,,,3,
Palm Springs,city hall,CA,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81794/signup/?source=&akid=&zip=&s=,,,,5,
Phoenix,US Sen. Jeff Flake's Office,AZ,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81620/signup/?source=&akid=&zip=&s=,,,,5,
Port Townsend,,WA,US,2018-10-03,,,,,,,general protestors,against Navy exercises,1,protest,0,0,0,0,1,1,onsite eyewitness,,,,,
Portland,,ME,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/annagalland/status/1047643106865307648,https://www.facebook.com/events/325332288024037/,,,3,
Portland ,,ME,US,2018-10-03,several hundred,200,,200,,,Maine Conservation Voters,call to vote,1,rally,0,0,0,0,1,1,https://www.pressherald.com/2018/10/04/obamas-epa-chief-rallies-portland-audience/,,,,,
Sacramento,capitol,CA,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81630/signup/?source=&akid=&zip=&s=,,,,5,
Seattle,Cal Anderson Park,WA,US,2018-10-03,,,,,,,NARAL Pro-Choice Washington; Planned Parenthood,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81653/signup/?source=&akid=&zip=&s=,,,,5,
Shoreline,,WA,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/RisPhillips/status/1047681399736524800,,,,3,
Storrs,University of Connecticut; Fairfield Way,CT,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,http://dailycampus.com/stories/2018/10/3/protest-against-kavanaugh-nomination-held-on-fairfield-way,,,,6,
Tacoma,,WA,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/hansen_kendra/status/1047672422277607424,,,,3,
Washington,outside Supreme Court,DC,US,2018-10-03,,,,,,,NARAL Pro-Choice America; MoveOn,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,0,0,0,0,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81182/signup/?source=&akid=&zip=&s=,,,,5,
Westfield,,NJ,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,,,,,1,1,https://twitter.com/jbyron75/status/1047608646958505984,,,,3,
Whidbey Island,,WA,US,2018-10-03,na,500,,500,,,general protestors,against Navy exercises,1,protest,0,0,0,0,1,1,onsite eyewitness,,,,,
Witchita Falls ,Multi-Purpose event center ,TX,US,2018-10-03,"estimated 1,400",1400,,1400,,,Campaign rally for Sen. Ted Cruz ,rallying for support the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.reporternews.com/story/news/local/2018/10/03/texas-ted-cruz-donald-trump-jr-rally-guns-border-wall-obamacare/1515404002/,,,,,
Witchita Falls ,Outside the Multi-Purpose event center ,TX,US,2018-10-03,20,20,,20,,,general protestors ,protesting Sen. Cruz's campaign rally,1,protest,0,0,0,0,0,1,https://www.reporternews.com/story/news/local/2018/10/03/texas-ted-cruz-donald-trump-jr-rally-guns-border-wall-obamacare/1515404002/,,,,,
Ames ,Lowa State University ,IA,US,2018-10-04,,,,,,,Iowa State University College Democrats,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,http://www.iowastatedaily.com/news/survivors-unite-at-anti-kavanaugh-rally/article_f39ce028-c845-11e8-8126-fbb23bf13d7d.html,https://www.amestrib.com/news/20181005/survivors-unite-at-anti-kavanaugh-rally,,,,
Ann Arbor ,Diag Square ,MI,US,2018-10-04,more than 100; about 300,100,,300,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.michigandaily.com/section/campus-life/community-rallies-solidarity-survivors,https://www.mlive.com/news/ann-arbor/index.ssf/2018/10/kavanaugh_confirmation_would_b.html,,,,
Berkeley,UC Berkeley ,CA,US,2018-10-04,,,,,,,UC Berkeley Students,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,http://www.dailycal.org/2018/10/04/lay-our-trauma-bare-students-survivors-protest-judge-brett-kavanaughs-potential-us-supreme-court-confirmation/,,,,,
Brunswick ,Bowdoin College ,ME,US,2018-10-04,,,,,,,student protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest;walk-out,0,0,0,0,1,1,https://wgme.com/news/local/bowdoin-students-walk-out-of-class-to-protest-judge-kavanaugh,,,,,
Burlington ,University of Vermont ,VT,US,2018-10-04,        about 1000,1000,,1000,,,UVM Students,for sexual assault survivors; against Kavanaugh confirmation,1,protest'walk-out,0,0,0,0,1,1,https://www.northcountrypublicradio.org/news/story/37159/20181005/uvm-students-protest-kavanaugh-nomination,,,,,
Cambrisge ,Harvard Yard ,MA,US,2018-10-04,   more than 100,100,,100,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2018/10/04/more-than-gather-harvard-yard-protest-kavanaugh-nomination/D2y7ElSlB3PC01dyyMz1wK/story.html,,,,,
Chicago ,McDonalds Headquarters,IL,US,2018-10-04,50,50,,50,,,general protestors ,protest calling for higher wages and union rights for fast food workers,0,protest,50,0,0,0,1,1,https://chicago.suntimes.com/news/u-s-rep-schakowsky-among-50-cited-with-trespassing-at-mcdonalds-protest/,,,,,
Cincinnati,,OH,US,2018-10-04,,,,,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.cincinnati.com/picture-gallery/news/2018/10/04/gallery-cancel-kavanaugh-protest-cincinnati/1527668002/,,,,,
Columbus ,Thompson Libary ,OH,US,2018-10-04,            over 100,100,,100,,,International Socialist Organization ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.thelantern.com/2018/10/students-and-locals-gather-for-anti-kavanaugh-protest/,,,,,
Foxborough,Foxborough Universalist Church,MA,US,2018-10-04,,,,,,,Foxborough Universalist Church,pro-peace,0,vigil,,,,,1,1,http://blog.02035.org/2018/10/04/oct-4-around-foxborough-patriots-uufoxborough-first-thursdays-peace-vigil-ken-paiva-toastmasters-the-dorr-family-closed-locked-we-the-people-school-photos-municipal-meetings-mother-goos/,,,,3,
Honolulu ,Downtown ,HI,US,2018-10-04,thousands ,2000,,2000,,,general protestors,marching to raise awareness about domestic violence ,0,march,0,0,0,0,1,1,https://www.khon2.com/news/local-news/thousands-marched-the-streets-to-raise-awareness-of-domestic-violence/1499328172,,,,,
Houston ,Wheatley High School,TX,US,2018-10-04,,,,,,,student protestors ,protesting the transfer of their vice principal,0,protest;walk-out,0,0,0,0,1,1,https://www.khou.com/article/news/education/students-at-wheatley-high-protest-alleged-transfer-of-vice-principal/285-600972463,,,,,
Kissimmee,,FL,US,2018-10-04,,,,,,,Kissimmee Police Department; Osceola County Domestic Violence Task Force,against domestic violence,0,vigil,,,,,1,1,https://twitter.com/kissimmeepolice/status/1047844716719562752,,,,3,
Knoxville,Downtown YWCA on Clinch Avenue,TN,US,2018-10-04,,,,,,,general protestors,against domestic violence,0,vigil,,,,,1,1,https://www.knoxnews.com/story/news/local/2018/09/28/candlelight-vigil-emma-walker-domestic-violence-victims-planned/1460194002/,,,,3,
Los Angeles,Streets of Hollywood,CA,US,2018-10-04,,,,,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest;march,0,0,0,0,1,1,https://abc7.com/politics/sexual-assault-survivors-protest-kavanaugh-in-hollywood/4414768/,,,,,
Loa Angeles ,UCLA Law School,CA,US,2018-10-04,almost 100,100,,100,,,UCLA law students ,for sexual assault survivors; against Kavanaugh confirmation,1,protest;walk-out,0,0,0,0,0,1,http://dailybruin.com/2018/10/05/ucla-school-of-law-students-and-faculty-stage-protest-against-kavanaugh/,,,,,
Madison,Libary Mall,WI,US,2018-10-04,over 100,100,,100,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.channel3000.com/news/dozens-march-to-capital-in-support-of-cancelkavanaugh/803110814,,,,,
Milwaukee ,,WI,US,2018-10-04,,,,,,,Care One Force ,rallying for affordable health care,1,rally,0,0,0,0,1,1,http://www.cbs58.com/news/local-lawmakers-advocates-rally-in-support-of-affordable-health-care,,,,,
Minneapolis,Outside the Wells Fargo Building ,MN,US,2018-10-04,,,,,,,general protestors ,protesting the Enbridge oil pipeline ,0,protest,0,0,0,0,1,1,http://www.startribune.com/enbridge-oil-pipeline-protest-in-minneapolis/495194971/#8,,,,,
Minneapolis,Coffman Memorial Union ,MN,US,2018-10-04,around 40; more than 50,40,,50,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,0,1,http://www.mndaily.com/article/2018/10/n-students-protest-ahead-of-kavanaugh-vote,http://www.fightbacknews.org/2018/10/5/u-mn-students-protest-kavanaugh-and-sexual-violence,,,,
Mobile,Main Street Trail ,AL,US,2018-10-04,,,,,,,general protestors ,anti-bullying,0,march,0,0,0,0,1,1,https://www.wkrg.com/news/mobile-county/student-opens-up-about-suicide-attempt-at-anti-bullying-march/1499264215,,,,,
Nashua ,Rotary Common Park ,NH,US,2019-10-04,about 30 ,30,,30,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,http://www.nashuatelegraph.com/news/local-news/2018/10/05/locals-host-rally/,,,,,
New York,Trump Tower,NY,US,2018-10-04,FB: 634,634,,634,,,Socialist Alternative NYC,protesting Kavanaugh confirmation,1,protest,,,,,1,1,https://www.facebook.com/events/452655075257119/,,,,4,
New York,Columbia University ,NY,US,2018-10-04,,,,,,,student protestors ,Protesting the University's response to the harassment of Jewish and Pro-Israel student ,0,protest,0,0,0,0,0,1,https://www.jpost.com/Diaspora/Antisemitism/Students-at-Columbia-U-protest-harassment-from-Pro-Palestinian-activists-568739,,,,,
Philadelphia ,City Center ,PA,US,2018-10-04,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2018/10/04/cancel-kavanaugh-rallies-hit-center-city-ahead-of-supreme-court-vote/,,,,,
Pine Hills ,Evans High School,FL,US,2018-10-04,about 300,300,,300,,,Flordia Rights and Restoration Coalition ,rallying support for the passage of Amendment 4 ,1,rally,0,0,0,0,1,1,https://www.orlandosentinel.com/features/education/school-zone/os-john-legend-event-evans-20181005-story.html,,,,,
Pittsburgh,University of Pittsburgh,PA,US,2018-10-04,about 100,100,,100,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://pittsburgh.cbslocal.com/2018/10/04/kavanaugh-protesters-gather-at-university-of-pittsburgh/,,,,,
Pittsburgh,Schenley Plaza ,PA,US,2018-10-04,more than 75,75,,75,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,0,1,https://pittnews.com/article/136119/news/kava-nah-pittsburgh-locals-protest-supreme-court-nomination/,,,,,
Portland ,Federal Courthouse ,OR,US,2018-10-04,about 20,20,,20,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.charlotteobserver.com/news/nation-world/national/article219507640.html,https://www.postbulletin.com/news/crime/minneapolis-man-arrested-at-trump-rally-for-repeatedly-yelling-dad/article_f660c458-c8ab-11e8-a5a2-9f613aadab52.html,,,,
