CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc.,
Florence,Downtown/Wilson Park,Lauderdale  ,AL,US,2019-06-01,,,,,,,Emily Grissom,Civil Rights; For women's rights; For abortion rights,1,march,,,,,1,1,https://www.timesdaily.com/news/local/women-s-march-saturday-in-downtown-florence/article_1b2dae76-6495-5865-97e7-e13c535d437b.html,,,,,
Fall River,Fall River Public Library,,MA,US,2019-06-01,,,,,,,Massachusetts Family Institute,"against Drag Queen Storytime at Fall River Public Library, for Christian values",2,protest,0,0,0,0,1,1,https://whdh.com/news/drag-queen-storytime-in-fall-river-goes-on-despite-controversy/,https://www.youtube.com/watch?v=QUcYCtzQls0,https://www.heraldnews.com/story/news/2019/05/29/christian-group-trying-to-stop/5035147007/,,feat. Miss Naomi Chomsky,
Fall River,Fall River Public Library,,MA,US,2019-06-01,,,,,,,general protesters,"in support of Drag Queen Storytime at Fall River Public Library, against hate",1,counter-protest,0,0,0,0,0,1,https://whdh.com/news/drag-queen-storytime-in-fall-river-goes-on-despite-controversy/,https://www.youtube.com/watch?v=QUcYCtzQls0,https://www.heraldnews.com/story/news/2019/05/29/christian-group-trying-to-stop/5035147007/,,,
Goshen,Courthouse,Elkhart,IN,US,2019-06-01,,,,,,,General Protesters,Civil Rights; For abortion rights,1,rally,0,0,0,0,1,1,https://www.goshennews.com/news/local_news/abortion-rights-supporters-rally-at-elkhart- -courthouse/article_24e20521-3fff-57c6-852a-eafd04d0a703.html,,,,,
Las Vegas,Downtown/city hall,Clark  ,NV,US,2019-06-01,,,,,,,General protesters,Civil Rights; For abortion rights,1,march,0,0,0,0,1,1,http://news3lv.com/news/local/marchers-adorned-in-red-march-against-restrictive-reproductive-rights,,,,,
Liberty,North Main St,Sullivan,NY,US,2019-06-01,,,,,,,Rural and Migrant Ministry and Justice for Farmworkers Campaign,For worker rights; Other,0,rally,0,0,0,0,1,1,https://midhudsonnews.com/2019/06/02/backers-of-farmworkers-rights-bill-rally-in-liberty/,,,,,
Medford,Pear Blossom Park and Hawthorne Park,Jackson ,OR,US,2019-06-01,dozens,24,,24,,,General protesters,Environment; Against hazardous conditions; Air,1,rally; march,0,0,0,0,1,1,https://www.kdrv.com/content/news/Group-rallies-and-marches-against-smoky-summers-510720141.html,,,,,
Media,Second Baptist Church of Media to Delaware County Courthouse,,PA,US,2019-06-01,125-150,125,,150,,,Delco United,"against gun violence, for sensible gun laws",1,rally; march,0,0,0,0,1,1,https://www.facebook.com/delcounited/videos/306667140239586/,web form,,,,
Minneapolis,Children's Theater Company,Hennepin  ,MN,US,2019-06-01,N/A,30,,30,,,Plaintiff's in case/general protesters,Other; Against child abuse,0,protest,0,0,0,0,1,1,http://www.startribune.com/children-s-theatre-protesters-describe-a-long-trail-of-damage/510715902/,,,,,
Montgomery,Downtown/Wilson Park,Montgomery  ,AL,US,2019-06-01,,,,,,,Emily Grissom,Civil Rights; For abortion rights,1,march,,,,,1,1,https://www.timesdaily.com/news/local/women-s-march-saturday-in-downtown-florence/article_1b2dae76-6495-5865-97e7-e13c535d437b.html,,,,,
New York,Harlem; Manhattan,New York  ,NY,US,2019-06-01,,,,,,,National Action Network,Other; Against violence,0,march,0,0,0,0,1,1,https://pix11.com/2019/06/01/harlem-march-highlights-gun-violence-against-minorities/,,,,,
New York,"College Point, Queens",Queens ,NY,US,2019-06-01,hundreds,200,,200,,,General Protestors,Against homeless housing plan; Against Mayor De Blasio,2,protest,0,0,0,0,1,1,https://qns.com/story/2019/06/04/its-time-for-him-to-go-at-latest-rally-college-point-residents-call-for-mayor-to-quit-over-shelter-plan/,,,,,
Norristown,Norristown Police Dept,Montgomery  ,PA,US,2019-06-01,,,,,,,General protesters ,For greater accountability; Police; Civil Rights,1,protest,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2019/06/01/saint-francis-assisi-carnival-brawl-teenager-charged/,,,,,
Richland,Howard Amon Park,Benton,WA,US,2019-06-01,,,,,,,Patriot Prayers,Civil Rights; For white supremacy,2,rally,0,0,0,0,1,1,http://keprtv.com/news/local/common-ground-protesters-rally-goers-have-a-nice-chat,,,,,
Richland,Howard Amon Park,Benton,WA,US,2019-06-01,,,,,,,General Protesters,Civil Rights; Against white supremacy; For racial justice; Counter protest,1,counter protest,0,0,0,0,0,1,http://keprtv.com/news/local/common-ground-protesters-rally-goers-have-a-nice-chat,,,,,
Saginaw,Genease,St Louis  ,MI,US,2019-06-01,,,,,,,General protesters,Other; Against violence,1,march,0,0,0,0,1,1,http://nbc25news.com/news/local/community-holds-march-to-stop-the-violence,,,,,
Southington,Southington Historical Society,Hartford,CT,US,2019-06-01,about a dozen ,12,,12,,,General Protesters,For local services; Healthcare,0,rally,0,0,0,0,1,1,http://www.myrecordjournal.com/News/Southington/Southington-News/Bradley-Hospital-supporters-hold-rally.html,,,,,
Valdosta,Courthouse,Lowndes  ,GA,US,2019-06-01,dozens,24,,24,,,General protesters,Civil Rights; For abortion rights,1,march,,,,,1,1,https://www.valdostadailytimes.com/news/local_news/prowomen-rally-speaks-out-against-heartbeat-law/image_4c012bb7-89da-5528-9f45-cd6c7a2a4588.htmlhttps://www.valdostadailytimes.com/news/local_news/prowomen-rally-coming-to-valdosta/article_cac3a210-dd2f-5acf-b078-380dc48deeb6.html,,,,,
Washington,Benning Road,DC,DC,US,2019-06-01,dozens,24,,24,,,Southeast residents/general protesters,Other; Against violence; against Guns,1,rally,0,0,0,0,1,1,https://www.wusa9.com/article/news/southeast-residents-rally-to-end-gun-violence/65-e655058c-9950-4974-8744-28b78ced4a6b,,,,,
Washington,Washington Monument,DC,DC,US,2019-06-01,,,,,,,Need to Impeach and NextGen America,Against president; Executive; Impeachment,1,rally,0,0,0,0,0,1,http://abcnewsradioonline.com/politics-news/nextgen-america-supporters-rally-in-washington-amid-growing.html,,,,,
Waterville,Childrens Book Cellar,Kennebec ,ME,US,2019-06-01,,,,,,,General Protesters,Civil Rights; Anti-LGBTQ,2,protest,0,0,0,0,1,1,http://wgme.com/news/local/drag-queen-story-hour-draws-protest-counter-protest-in-waterville,,,,,
Waterville,Childrens Book Cellar,Kennebec ,ME,US,2019-06-01,more than 200,200,,200,,,General Protesters,Civil Rights; Pro-LGBTQ; Counter protest,1,counter protest,0,0,0,0,0,1,http://wgme.com/news/local/drag-queen-story-hour-draws-protest-counter-protest-in-waterville,,,,,
Cincinnati,Ohio River,Hamilton  ,OH,US,2019-06-02,thousands,2000,,2000,,,Local Pro-life groups,Against abortion rights; Civil Rights,2,march,0,0,0,0,1,1,https://www.nbc4i.com/news/u-s-world/thousands-of-abortion-foes-to-march-across-ohio-river-bridge/2044943352,,,,,
Cleveland,City Hall,Cuyahoga,OH,US,2019-06-02,,,,,,,General protesters,Other; Against hazardous conditions,0,rally/march,0,0,0,0,1,1,https://www.news5cleveland.com/lifestyle/lead-safety/overnight-rally-held-to-fight-clevelands-lead-crisis,,,,,
Dallas,Resource Center. 5750 Cedar Springs Road,Dallas,TX,US,2019-06-02,,,,,,,general protestors,#BlackTransLives; protesting the death of two transgender women ,1,March,0,0,0,0,1,1,https://www.dallasnews.com/news/2019/06/08/we-are-under-attack-lgbtq-groups-to-march-in-solidarity-after-2-transgender-women-slain/,,,,,
Dubuque,Iowa Street; near Dubuque County jail,Dubuque,IA,US,2019-06-02,about a dozen,12,,12,,,general protestors,Civil Rights; For criminal justice reform; Prisons,0,protest,0,0,0,0,1,1,https://www.telegraphherald.com/news/tri-state/article_1e6a3abe-0e64-5485-bece-02b35ae3a7b7.html,,,,,
Dubuque,Washington Square,,IA,US,2019-06-02,,,,,,,general protest,Guns; For greater gun control,0,rally,0,0,0,0,1,1,https://www.telegraphherald.com/news/tri-state/article_5aff5f16-6b1c-5024-9b6f-e8da8f7d66ac.html,,,,,
Fort Walton Beach,US Highway 98,Okaloosa ,FL,US,2019-06-02,dozens,24,,24,,,General Protesters,Guns; For greater gun control,1,protest,0,0,0,0,1,1,https://www.nwfdailynews.com/news/20190602/fwb-protest-against-gun-violence,,,,,
New York,Facebook headquarters,New York   ,NY,US,2019-06-02,n/a,100,,100,,,Grab Them By the Ballot,Other; For nudity,0,sit in/rally,0,0,0,0,1,1,https://www.wsmv.com/news/us_world_news/demonstrators-photographed-by-spencer-tunick-bare-nipples-outside-facebook-in/article_570b8eac-e5c9-5f3c-b133-4b105ab98efe.html,,,,,
Newtown,"Newtown Middle School, 11 Queen St., to Mile Hill Road, and then return to Newtown Middle School",Fairfield,CT,US,2019-06-02,,,,,,,"CT Against Gun Violence, CT Teens Against Gun Violence, Jr. Newtown Action Alliance, the CT Chapter of Moms Demand Action, Mothers United Against Violence, Newtown Action",against gun violence; for gun reform,1,rally; walk,0,0,0,0,1,1,https://www.wearorange-ct.org/newtown-walk-rally,https://www.newstimes.com/local/article/Newtown-to-hold-gun-violence-prevention-rally-13911995.php,,,,
Providence,Cathedral Square,Providence,RI,US,2019-06-02,about 350,350,,350,,,General Protesters,Civil Rights; Pro-LGBTQ,1,rally,0,0,0,0,1,1,https://www.providencejournal.com/news/20190602/points-of-pride-bishop-tobins-anti-lgbtq-tweet-draws-hundreds-to-protest,,,,,
Chicago,University of Chicago,Cook,IL,US,2019-06-03,about 200,200,,200,,,Graduate Students United,for unionization,1,strike; rally,0,0,0,0,1,1,https://www.chicagomaroon.com/article/2019/6/4/gsu-strike-day-one/,,,,,
Fort Mill,Doby’s Bridge Elementary School,York,SC,US,2019-06-03,at least a dozen,12,,12,,,General Protesters,Other; For greater safety; Against development,1,protests,0,0,0,0,1,1,https://www.heraldonline.com/news/local/article231111978.html,,,,,
Fort Wayne,Allen County Courthouse,Allen,IN,US,2019-06-03,about 50,50,,50,,,General Protesters,Civil Rights; For abortion rights,1,rally,0,0,0,0,1,1,https://www.wane.com/news/local-news/activists-rally-for-reproductive-abortion-rights/2049566249,,,,,
Harrisburg,State Capitol,Dauphin,PA,US,2019-06-03,nearly 500,500,,500,,,General Protesters,Other; For consumer protections,0,rally,0,0,0,0,1,1,https://www.pennlive.com/news/2019/06/bikers-rally-for-motorcycle-lemon-law-and-procession-rights-at-pa-capitol.html,,,,,
Hendersonville,Historic Courthouse,Henderson,NC,US,2019-06-03,a couple dozen,24,,24,,,General Protesters,Immigration; For compassionate immigration,1,protest,0,0,0,0,1,1,https://www.blueridgenow.com/news/20190603/opponents-of-287g-speak-out-at-rally-in-hendersonville,,,,,
Petaluma,Duck Farm,Sonoma,CA,US,2019-06-03,about 600,600,,600,,,Direct Action Everywhere,Other; For animal welfare,0,protest,98,0,0,0,1,1,https://www.sfgate.com/news/bayarea/article/10-Detained-At-Animal-Rights-Protest-At-Duck-Farm-13924856.php,,,,,
Rockford,Church and Reylond's street,Winnebago ,IL,US,2019-06-03,,,,,,,Save Piety Hill,Other; For historic preservation,0,vigil,0,0,0,0,1,1,https://www.wifr.com/content/news/Locals-protest-share-mixed-feelings-as-Rockford-Chancery-comes-down-510777931.html,,,,,
Sacramento,Capital Avenue,Sacramento,CA,US,2019-06-03,,,,,,,General Protesters,Civil Rights; For transgender rights; Immigration; For compassionate immigration,1,rally,0,0,0,0,1,1,https://www.sacbee.com/news/local/article231143693.html,,,,,
Salem,State Capitol,,OR,US,2019-06-03,,,,,,,General Protest,Other; For historic preservation,0,rally,0,0,0,0,1,1,https://nbc16.com/news/local/leaburg-hatchery-supporters-to-rally-at-state-capitol,,,,,
San Francisco,Swedish Consulate,,CA,US,2019-06-03,,,,,,,Bay Area Action Committee to Free Julian Assange,International; Civil Rights; For freedom of press; For freedom of speech,0,protest,,,,,,,https://www.sfchronicle.com/politics/article/Bay-Area-political-events-Housing-in-Marin-13917263.php,,,,,
San Jose,,Santa Clara,CA,US,2019-06-03,,,,,,,Santa Clara County Office,Civil Rights; For transgender rights,1,rally,0,0,0,0,1,1,https://sanfrancisco.cbslocal.com/2019/06/04/san-jose-pride-month-rally-to-denounce-violence-against-lgbtq-community/,,,,,
Toledo,Toledo Edison Building,Lucas  ,OH,US,2019-06-03,,,,,,,General protesters ,Environment; Against fossil fuels,1,rally,0,0,0,0,1,1,http://bgindependentmedia.org/hb-6-protest-planned-for-monday/,,,,,
Warwick,City Hall,Kent ,RI,US,2019-06-03,,,,,,,students,Education; protest budget cuts to athletics,0,rally,0,0,0,0,1,1,https://www.wpri.com/news/local-news/west-bay/students-rally-as-warwick-schools-city-continue-budget-talks/2049662534,,,,,
Washington,,DC,DC,US,2019-06-03,,,,,,,parents and students,protest closing of charter school,0,protest,0,0,0,0,1,1,https://www.wusa9.com/article/news/dc-parents-protest-closing-of-northeast-charter-school/65-99c2f6b8-e4f6-4a93-b24e-7c85a9f83d0b,,,,,
Williamsburg,Senator's Office,York,VA,US,2019-06-03,more than 85,85,,85,,,General Protesters,For greater gun control; Guns,1,protest,0,0,0,0,1,1,https://www.vagazette.com/news/va-vg-norment-protest-0603-story.html,,,,,
Albany,Capitol,Albany ,NY,US,2019-06-04,hundreds ,200,,200,,,Upstate Downtown Housing Alliance ,stronger protections for tenants ,0,protest,0,0,0,0,1,1,https://www.syracuse.com/state/2019/06/hundreds-protest-slow-movement-on-rent-rules-in-new-york.html,,,,,
Chicago,University of Chicago,Cook,IL,US,2019-06-04,,,,,,,Graduate Students United,for unionization,1,strike; rally,0,0,0,0,1,1,https://www.chicagomaroon.com/article/2019/6/4/gsu-strike-day-one/,,,,,
Farmington,,Davis  ,UT,US,2019-06-04,N/A,30,,30,,,General protesters,Civil Rights; For racial justice,0,protest,0,0,0,0,1,1,https://www.standard.net/news/education/utah-black-roundtable-leads-protest-by-presence-at-davis-school/article_b48d7217-2773-50fd-812c-defaea095f59.html,,,,,
Manchester,Federal immigration building,Hillsborough  ,NH,US,2019-06-04,dozens,24,,24,,,General protesters,Immigration; For compassionate immigration,1,march/protest,0,0,0,0,1,1,https://www.wmur.com/article/presidential-candidate-williamson-joins-demonstration-over-immigration-policy/27734222,,,,,
New Bedford,District Court,Bristol,MA,US,2019-06-04,,,,,,,General Protesters,anti ICE; For compassionate immigration; Against punishment of protestor,1,protest,1,0,0,0,1,1,http://www.abc6.com/story/40591259/new-york-teacher-begins-10day-sentence-for-role-in-ice-protest,,,,,
Pensacola,Dr. Martin Luther King Jr. Plaza,Escambia,FL,US,2019-06-04,,,,,,,general protestors,Anti violence ,0,rally,0,0,0,0,1,1,https://weartv.com/news/local/several-local-shootings-lead-to-stop-the-violence-rally,,,,,
Raleigh,Raleigh Municipal Building,Wake  ,NC,US,2019-06-04,N/A,50,,50,,,GoTransit bus drivers,Collective Bargaining; For worker rights,0,rally/march,0,0,0,0,1,1,https://www.newsobserver.com/news/local/article231178668.html,,,,,
Salt Lake City ,Glendale Middle School,Salt Lake ,UT,US,2019-06-04,roughly 200,200,,200,,,teachers,Support higher wages for teachers in Salt Lake City,0,Protest,0,0,0,0,1,1,https://www.sltrib.com/news/education/2019/06/05/nearly-teachers-salt/,,,,,
Seattle,Showbox Theater,King  ,WA,US,2019-06-04,,,,,,,Landmarks Preservation Board,Other; For historic preservation,0,rally,0,0,0,0,1,1,https://www.kiro7.com/news/local/save-the-showbox-rally-being-held-in-advance-of-city-council-vote-this-afternoon/955233957,,,,,
Woodstock,DCFS building,McHenry,IL,US,2019-06-04,,,,,,,community members,protest gun violence,0,demonstration,0,0,0,0,1,1,https://www.nwherald.com/2019/06/03/group-to-protest-outside-dcfs-building-courthouse-in-memory-of-aj/a8172q3/,,,,,
Bridgewater,East Bridgewater Junior-Senior High School,Plymouth,MA,US,2019-06-05,,,,,,,teachers,Against lack of communication from school administration,0,Protest,0,0,0,0,1,1,https://www.enterprisenews.com/news/20190607/east-bridgewater-students-walk-out-of-class-in-protest-to-changes,,,,,
Chicago,University of Chicago,Cook,IL,US,2019-06-05,over 400,400,,400,,,Graduate Students United,for unionization,1,strike; rally,0,0,0,0,1,1,https://www.chicagomaroon.com/article/2019/6/4/gsu-strike-day-one/,,,,,
Delaware,Secret Idenitity Comics,Delware  ,OH,US,2019-06-05,,,,,,,General protesters,Civil Rights; Pro-LGBTQ,1,rally,0,0,0,0,1,1,https://www.nbc4i.com/news/local-news/supporters-rally-outside-delaware-drag-101-class/2055236440,,,,,
Greenville,Laupus Library at the Brody School of Medicine,Pitt,NC,US,2019-06-05,,,,,,,"""Health Care Can't Wait- Expand Medicaid"" protestors",Support Medicaid expansion,1,Vigil,0,0,0,0,1,1,https://www.reflector.com/news/local/local-advocates-join-others-across-the-state-to-rally-for/article_f8d5ec8f-4024-5921-b852-ab1bfb8b9720.html,,,,,
Harrisburg,State Capitol,Dauphin  ,PA,US,2019-06-05,N/A,30,,30,,,Keystone Cannabis Coalition,For marijuana; Other,0,rally,0,0,0,0,1,1,https://www.pennlive.com/news/2019/06/cannabis-advocates-rally-in-harrisburg-behind-notion-that-prohibition-is-doomed-to-failure.html,,,,,
Long Beach,Outside the Tibor Rubin VA Medical Center,Los Angeles,CA,US,2019-06-05,about 50,50,,50,,,Workers; veterans,Protesting a new contract proposal from the VA; Protesting privatization ,0,Protest,0,0,0,0,1,1,https://www.presstelegram.com/2019/06/05/southern-california-va-employees-join-nationwide-rallies-to-protest-what-they-see-as-a-move-toward-privatization/,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-06-05,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Peabody,City Hall,Essex,MA,US,2019-06-05,more than 350 people,350,,350,,,Peabody Clergy and Ministerial Association,Against anti-semitism,0,Rally,0,0,0,0,1,1,https://www.salemnews.com/news/local_news/peabody-rally-calls-out-anti-semitism/article_0f0c3e6b-0a8e-5c4e-9aac-fe2152f24896.html,https://www.itemlive.com/2019/06/02/peabody-will-rally-after-anti-semitic-incident/,,,,
Philadelphia,University and Baltimore Avenue,Philadelphia  ,PA,US,2019-06-05,,,,,,,American Federation of Government Employees,Collective Bargaining; For better compensation,0,rally,0,0,0,0,1,1,https://6abc.com/business/philly-union-workers-rally-for-fair-contract/5332712/,,,,,
Providence,State Capitol,Providence  ,RI,US,2019-06-05,scores ,40,,40,,,Planned Parenthood,Civil Rights; For abortion rights,1,rally,0,0,0,0,1,1,https://www.providencejournal.com/news/20190605/head-of-now-rallies-abortion-rights-supporters-in-rhode-island,,,,,
Providence,State Capitol,Providence  ,RI,US,2019-06-05,,,,,,,Rhode Island Right to Life,Civil Rights; Against abortion rights,2,counter-rally,0,0,0,0,0,1,https://www.wpri.com/news/local-news/providence/pro-life-pro-choice-advocates-rally-at-the-state-house/2055381058,,,,,
Rosendale,,Ulster,NY,US,2019-06-05,,,,,,,general protestors,Lobbying for the approval of the Farm Worker Fair Labor Practices Act,0,Rally,0,0,0,0,1,1,https://midhudsonnews.com/2019/06/06/supporters-of-farmworker-rights-rally-in-metzgers-hometown/,,,,,
Salt Lake City,Capitol,Salt Lake  ,UT,US,2019-06-05,dozens,24,,24,,,Civil Riot ,Environment; For wilderness preservation; Against hazardous conditions,0,protest/takeover,1,0,0,0,1,1,https://www.sltrib.com/news/politics/2019/06/05/inland-port-june-meeting,,,,,
San Diego,State Route 67,San Diego  ,CA,US,2019-06-05,,,,,,,General protesters,Other; For improving infrastructure; For greater safety,0,protest,0,0,0,0,1,1,https://www.cbs8.com/article/news/politics/wildfire-evacuees-community-leaders-protest-sandag-plans-to-shelve-highway-safety-improvements/509-125dec8d-c6a0-424a-85d9-1bffeb5b3935,,,,,
Soledad,,Monterey,CA,US,2019-06-05,more than 50,50,,50,,,trailer park residents,Protesting their eviction from Nielsen's Trailer Park ,0,Rally,0,0,0,0,1,1,https://www.kion546.com/news/soledad-trailer-park-residents-protest-impending-eviction/1083949189,,,,,
Albany,Capitol,Albany,NY,US,2019-06-06,,,,,,,general protestors,Against abortion,2,Protest,0,0,0,0,1,1,https://www.timesunion.com/7dayarchive/article/Churchill-At-the-Capitol-a-silent-protest-amid-13960912.php,,,,,
Augusta,State House,Kennebec,ME,US,2019-06-06,dozens; a few dozen,24,,36,,,general protestors,Negotiating for better budget,1,Rally,0,0,0,0,1,1,https://www.wabi.tv/content/news/Dozens-rally-at-State-House-for-moral-budget-510935321.html,,,,,
Battle Creek,Corner of West Dickman Road and North 48th Street ,Calhoun,MI,US,2019-06-06,,,,,,,Battle Creek VA Medical Center Workers' Union ,Negotiating for a better VA contract,1,Rally,0,0,0,0,1,1,https://wkzo.com/news/articles/2019/jun/06/upton-previews-va-mission-act-battle-creek-va-workers-rally-against-it/,,,,,
Bridgewater,East Bridgewater Junior-Senior High School,Plymouth,MA,US,2019-06-06,more than 100,100,,100,,,Students of East Bridgewater Junior-Senior High School,Support teachers; Against lack of communication from school administration,0,Protest,0,0,0,0,1,1,https://www.enterprisenews.com/news/20190607/east-bridgewater-students-walk-out-of-class-in-protest-to-changes,,,,,
Eugene,University of Oregon Johnson Hall ,Lane,OR,US,2019-06-06,,,,,,,Graduate Teaching Fellows Federation; Service Employees Internation Union Local 503 ,Protesting poor contracts offered by UO,0,Rally,0,0,0,0,1,1,https://www.eugeneweekly.com/2019/06/06/shout-to-the-top/,,,,,
Hattiesburg,Outside call center of Maximus,Forrest,MS,US,2019-06-06,,,,,,,Maximus workers,Want betters wages and creation of a union,1,Rally,0,0,0,0,1,1,https://msbusiness.com/2019/06/workers-protest-mississippi-business-conditions-seek-union/,,,,,
Las Vegas,Aria Resort,Clark,NV,US,2019-06-06,NA,1,,1,,,woman activist,pro animal rights,0,protest,1,0,0,0,1,1,https://www.usnews.com/news/best-states/california/articles/2019-07-22/jeff-bezos-event-protester-enters-disorderly-conduct-plea,,,,,
Livonia,Jack E. Kirksey Recreation Center,Wayne,MI,US,2019-06-06,more than a dozen,12,,12,,,Save Hines Park group,Want to protect to historic mills,0,Rally,0,0,0,0,1,1,https://www.hometownlife.com/story/news/local/livonia/2019/06/07/save-hines-park-group-still-out-protesting-sale-historic-mills/1365564001/,,,,,
Madison,,Dane,WI,US,2019-06-06,,,,,,,general protestors,Protesting jail renovations,1,Protest,0,0,0,0,1,1,https://wkow.com/news/top-stories/2019/06/07/dane-county-board-approves-jail-renovations-after-protesters-stall-meeting/,,,,,
Minneapolis,Hennepin County Government Center,Hennepin,MN,US,2019-06-06,nearly 200 ,200,,200,,,Members of Somali-American immigrant community,In support of Mohamed Noor,1,Rally,0,0,0,0,1,1,http://www.startribune.com/members-of-somali-american-community-rally-in-support-of-mohamed-noor/510947241/,,,,,
Perth Amboy,,Middlesex,NJ,US,2019-06-06,,,,,,,Perth Amboy teachers,Rallied for a new contract,0,Rally,0,0,0,0,1,1,https://www.mycentraljersey.com/story/news/education/2019/06/11/perth-amboy-nj-teachers-school-board-impasse-contract-talks/1386685001/,,,,,
Tysons,,Fairfax ,VA,US,2019-06-06,,,,,,,Service Employees International Union Local 32BJ,Justice For Janitors ,0,rally,0,0,0,0,1,1,http://www.fairfaxtimes.com/articles/labor-union-marches-through-tysons-in-protest-of-commercial-cleaner/article_5bee08e2-8e3d-11e9-860c-c3081eb1360c.html,,,,,
Union City,East Reelfoot Street and South First Street,Obion,TN,US,2019-06-06,about 20,20,,20,,,general protestors,Want details about Sterling Higgins' death at the Obion County Law Enforcement Complex,1,Rally,0,0,0,0,1,1,https://www.jacksonsun.com/story/news/local/2019/06/07/union-city-protest-sterling-higgins-death/1383260001/,,,,,
Washington,,DC,DC,US,2019-06-06,dozens,24,,24,,,Young protestors,Marching for Maurice Scott after he was shot,1,March,0,0,0,0,1,1,https://www.wusa9.com/article/news/local/dc/put-the-guns-down-dozens-march-for-maurice-scott-15-year-old-killed-in-se-dc-shooting/65-e7a66244-96cb-4f79-b514-23d00da4f281,,,,,
Westwood,UCLA,Lassen,CA,US,2019-06-06,about 40,40,,40,,,United Auto-Workers Local 5810 Union members,Against alleged action against a member of the university,0,Protest,0,0,0,0,1,1,http://dailybruin.com/2019/06/06/union-members-protest-after-researchers-postdoctoral-appointment-ends/,,,,,
Clarksville,,Montgomery,TN,US,2019-06-07,,,,,,,Group of moms,Against gun violence,1,Rally,0,0,0,0,1,1,https://www.wkrn.com/news/moms-honor-their-sons-through-gun-violence-awareness-rally-in-clarksville/,,,,,
Flint Township,abortion clinic,Genesee,MI,US,2019-06-07,,,,,,,general protestors,Opposing abortion rights,2,Rally,5,0,0,0,1,1,https://www.mlive.com/news/flint/2019/06/police-remove-abortion-protesters-for-refusing-to-leave-clinic-in-flint-township.html,https://www.wnem.com/2022/11/19/4-sentenced-trespassing-resisting-police-during-protest-abortion-clinic/,,,,
Franklin ,,Williamson,TN,US,2019-06-07,about two dozen,24,,24,,,general protestors,Against Speaker of the House Glen Casada,1,Rally,0,0,0,0,1,1,https://www.tennessean.com/story/news/local/williamson/franklin/2019/06/07/williamson-residents-call-casadas-removal-house-protest-franklin-square/1383239001/,,,,,
Guilford,First Congregational Church,New Haven,CT,US,2019-06-07,,,,,,,CT Shoreline Moms Demand Action,against gun violence; for gun reform,1,rally,0,0,0,0,1,1,https://www.wearorange-ct.org/events/shoreline-turn-the-church-orange,,,,,
Hauppauge,DMV Hauppauge,Suffolk,NY,US,2019-06-07,dozens,24,,24,,,general protestors,"Support ""Green Light New York"" bill",1,Rally,0,0,0,0,1,1,http://longisland.news12.com/story/40612990/dozens-rally-at-dmv-for-licenses-for-undocumented-immigrants,,,,,
Montpelier,Outside the Statehouse,Washington,VT,US,2019-06-07,more than 50 ,50,,50,,,general protestors,Against distracted driving,0,Rally,0,0,0,0,1,1,https://www.vnews.com/Advocates-want-distracted-driving-to-be-as-unacceptable-as-drunk-driving-26120479,,,,,
Norristown,Montgomery County courthouse,Montgomery ,PA,US,2019-06-07,,,,,,,Wear Orange,Against gun violence,1,Rally,0,0,0,0,1,1,https://www.timesherald.com/news/local/gov-wolf-takes-to-montco-courthouse-steps-for-national-gun/article_a7ca5ac6-895c-11e9-8180-ff4cd654d713.html,,,,,
Philadelphia,Roundhouse,Philadelphia,PA,US,2019-06-07,more than 150,150,,150,,,general protestors,Against alleged racist Facebook posts from police,0,Protest,0,0,0,0,1,1,https://www.inquirer.com/news/philadelphia-police-facebook-posts-racist-offensive-protest-20190607.html,,,,,
Phoenix,Outside Phoenix Police Department Headquarters ,Maricopa,AZ,US,2019-06-07,about 20 ,20,,20,,,Arizona chapter of Black Lives Matter,Against police shootings,1,Protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix-breaking/2019/06/07/protesters-denounce-phoenix-police-shootings-facebook-posts/1390336001/,,,,,
Pittsburgh,Outside Pittsburgh Post-Gazette offices,Allegheny,PA,US,2019-06-07,,,,,,,Union members,Want fair wages,0,Rally,0,0,0,0,1,1,https://www.wtae.com/article/pittsburgh-penguins-sidney-crosby-out-minimum-6-weeks-surgery/29797210,,,,,
Portland,,Multnomah,OR,US,2019-06-07,,,,,,,general protestors,Against proposed expansion project of Interstate 5,1,Protest,0,0,0,0,1,1,https://www.kptv.com/news/ne-portland-residents-protest-proposed-m-i--expansion-project/article_830c78ca-899f-11e9-b7c3-83f9371209e8.html,,,,,
Portland,Deering High School,Cumberland,ME,US,2019-06-07,about five dozen ,60,,60,,,general protestors,Against gun violence,1,Protest; rally,0,0,0,0,1,1,https://www.newscentermaine.com/article/news/education/maine-students-protest-gun-violence-at-after-school-rally/97-3d7ea413-a226-467e-a586-f7465da0e14c,,,,,
