City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Berkeley,UC-Berkeley campus,CA,US,2018-02-01,,100,,100,,,UC Union Workers; Nurses,Protesting working conditions,0,protest,1,1,0,0,1,1,http://www.dailycal.org/2018/02/01/uc-berkeley-worker-detained-ucpd-uc-worker-rally/,http://www.sfchronicle.com/crime/article/Protester-arrested-in-labor-demonstration-at-UC-12545370.php,http://www.dailycal.org/2018/02/01/100-uc-employees-rally-increased-wages-ucpd-arrests-1/,
Boston,Harvard University Kennedy School,MA,US,2018-02-01,Around 100 students,100,,100,,,Act on a Dream; Harvard-Radcliffe Asian American Women’s Association; Harvard College Democrats; 17 other Harvard student organizations,Protesting Rep. Dick Durbin's speech; rally for clean Dream Act,1,rally,0,0,0,0,1,1,http://www.thecrimson.com/article/2018/2/2/durbin-visit-protests/,,,
Bridgewater,Den Besten Slaughterhouse,MA,US,2018-02-01,,,,,,,Boston Animal Save,Rallying for animal rights,0,rally,0,0,0,0,1,1,http://www.enterprisenews.com/news/20180201/vegan-activists-protest-outside-bridgewater-slaughterhouse,,,
Ellensburg,"Central Washington University, SURC to corner of East University Way and North Wildcat Way",WA,US,2018-02-01,about 20 students,20,,20,,,Movimiento Estudiantil Chicanx de Aztlán (MEChA),March for DREAM act and DACA,1,march,0,0,0,0,1,1,https://cwuobserver.com/11584/news/students-march-for-dream-act-post-government-shutdown/,,,
Fargo,Sanctuary Events Center,ND,US,2018-02-01,nearly 70,70,,70,,,general protestors,Protesting woman convicted of murder,0,protest,0,0,0,0,1,1,http://bismarcktribune.com/news/state-and-regional/we-are-savanna-pre-sentencing-rally-draws-heavy-hearts-hopeful/article_d267abc3-41ca-5ea7-9929-e5cdefe3d99b.html,,,
Minneapolis,Club Jager,MN,US,2018-02-01,a handful,,,,,,general protestors,Protesting club reopening,0,protest,0,0,0,0,1,1,https://www.minnpost.com/glean/2018/02/club-j-ger-s-reopening-protested,,,
Mobile,Strickland Youth Center,AL,US,2018-02-01,,,,,,,general protestors,Protesting juvenile judge,0,protest,0,0,0,0,1,1,http://www.fox10tv.com/story/37409705/group-stages-protest-at-strickland-youth-center,,,
Montgomery,Statehouse,AL,US,2018-02-01,FB: 42,42,,42,,,YWCA Alabama,Protesting predatory loaning,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/405298956568415/,,,
Mount Hope,Bradley Elementary School,WV,US,2018-02-01,picture,4,,4,,,general protestors,Protesting the underpayment of teachers,0,protest,0,0,0,0,1,1,http://www.register-herald.com/news/parents-rally-near-local-schools-in-support-of-better-treatment/article_f6917777-520d-53ec-a0c3-4f4d473b10a9.html,,,
New Britain,Main St.,CT,US,2018-02-01,FB: 9,9,,9,,,CT Fight for 15,Rallying in memory of killed sanitation workers 50 years ago,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/944915179019506/,,,
New Orleans,Bourbon Street,LA,US,2018-02-01,hundreds,200,,200,,,Strip Club workers,Protesting regulations by Alcohol and Tobacco Commission,0,march,0,0,0,0,1,1,https://www.bestofneworleans.com/thelatest/archives/2018/01/27/stripclub-workers-planning-marches-to-protest-recent-atc-raids,http://www.theadvocate.com/new_orleans/news/article_daf74a90-07e3-11e8-9a74-cfe180b1d881.html,https://www.washingtonpost.com/news/post-nation/wp/2018/02/02/exotic-dancers-march-on-the-streets-to-protest-crackdown-on-new-orleans-strip-clubs/?utm_term=.e529ec06c63c,
New York,26 Federal Plaza,NY,US,2018-02-01,about 50,50,,50,,,general protestors,Protesting detention of immigrants rights leader,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/ravi-ragbir-returns-site-arrest-nyc-protest-march-article-1.3793363,,,
Oakland,7th St.,CA,US,2018-02-01,FB: 22,22,,22,,,SURJ Oakland,Protesting voter suppression,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/506066199793878/,,,
Philadelphia,City Hall,PA,US,2018-02-01,FB: 38,38,,38,,,For Pennsylvania's Future,Protesting racial inequality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1969761209958036/,,,
Philadelphia,,PA,US,2018-02-01,,,,,,,IAM2018,Rallying behind striking sanitation workers,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/183247172266543/,,,
Portland,Woodlawn MIC,OR,US,2018-02-01,FB: 163,163,,163,,,Don't Shoot Portland,Rallying for racial equality,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/484415845293017/,,,
Riverside,UC Riverside,CA,US,2018-02-01,about 30 people,30,,30,,,"American Federation of State, County and Municipal Employees (AFSCME) Union",Protesting working conditions,0,protest,0,0,0,0,1,1,https://www.redlandsdailyfacts.com/2018/02/01/uc-riverside-unions-join-eight-campus-protest/,,,
San Diego,UC-San Diego Campus,CA,US,2018-02-01,between 60 and 70,60,,70,,,UC Union Workers,Protesting working conditions,0,protest,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/public-safety/sd-me-protest-uc-20180201-story.html,,,
Santa Barbara,UC Santa Barbara library,CA,US,2018-02-01,About 50 people,50,,50,,,"American Federation of State, County and Municipal Employees (AFSCME) Union",Protesting working conditions,0,protest,0,0,0,0,1,1,http://www.keyt.com/news/santa-barbara-s-county/university-of-californias-largest-union-holds-rally-at-ucsb/695172816,,,
Spokane,Gonzaga University,WA,US,2018-02-01,dozens,24,,24,,,Students,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,https://www.kxly.com/news/gonzaga-students-hold-rally-supporting-dreamers-1/695250922,,,
St. Petersburg,Allendale Methodist Church,FL,US,2018-02-01,more than 100,100,,100,,,general protestors,Protesting deportation of local man,1,protest,0,0,0,0,1,1,https://www.cltampa.com/news-views/local-news/article/20991116/luis-blanco-immigration-plant-city,,,
Tar Heel,Smithfield Foods plant,NC,US,2018-02-01,scores,40,,40,,,general protestors,Protesting environment inpact of plant,1,protest,12,0,0,0,1,1,http://www.wral.com/troopers-actions-at-slaughterhouse-protest-under-review/17309389/,,,
White Sulphur Springs,Greenbriar Resort,WV,US,2018-02-01,around 450; hundreds,450,,450,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.register-herald.com/news/anatomy-of-a-protest/article_b4b72b78-333a-5e30-8d0b-d1a192d2e960.html,https://www.wvgazettemail.com/news/politics/hundreds-protest-trump-outside-greenbrier/article_9d86410a-4ad1-500d-936a-ac78e0ff5792.html,http://www.bdtonline.com/news/hundreds-protest-trump-at-greenbrier/article_9712d76c-07bc-11e8-a30c-6ba4eda58ff6.html,
Albuquerque,Civic Plaza,NM,US,2018-02-02,hundreds,200,,200,,,general protestors,Rallying awareness for heart disease in women,0,rally,0,0,0,0,1,1,http://krqe.com/2018/02/02/wear-red-day-rally-held-at-civic-plaza/,,,
Bakersfield,,CA,US,2018-02-02,hundreds,200,,200,,,general protestors,Protesting bakery who refused to serve gay couple,1,protest,0,0,0,0,1,1,http://www.wbaltv.com/article/prayer-rally-held-for-bakery-that-refused-same-sex-couple/16552879,,,
Bakersfield,,CA,US,2018-02-02,hundreds,200,,200,,,general protestors,Rallying for bakery who refused to serve gay couple,2,rally,0,0,0,0,0,1,http://www.wbaltv.com/article/prayer-rally-held-for-bakery-that-refused-same-sex-couple/16552879,http://www.newschannel10.com/story/37419127/first-amendment-debated-in-same-sex-bakery-hearing,,
