CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,,,,
Decatur,,,GA,US,2020-10-12,,,,,,,general protesters,for Joe Biden,1,rally,,,,,1,1,,Feat. Jill Biden and Stacey Abrams,,https://tampa.cbslocal.com/2020/10/13/jill-biden-campaigns-at-early-voting-rally-in-dekalb-county/,,,,,,,,,,,,,,,,,,
Draper,Utah Department of Corrections Administration Building,,UT,US,2020-10-12,,,,,,,general protesters,against handling of coronavirus pandemic in state prisons,0,protest,,,,,1,1,,,,https://www.abc4.com/news/top-stories/278-utah-inmates-contract-covid-19-families-host-protest/,,,,,,,,,,,,,,,,,,
Duluth,Duluth City Hall,,MN,US,2020-10-12,count video,10,,20,,,Twin Ports American Indian Movement,"for additional city support for homeless people, for native peoples' rights",0,protest,,,,,1,1,,,,https://www.wdio.com/duluth-minnesota-news/protest-addresses-twin-ports-homelessness/5892969/,https://www.fox21online.com/2020/10/13/indigenous-peoples-day-celebrated-in-duluth/,,,,,,,,,,,,,,,,,
Durango,Buckley Park down Main Avenue,,CO,US,2020-10-12,about 150,150,,150,,,general protestors,"for indigenous peoples' rights, for removing sign of Native American chief",1,protest,0,0,0,0,1,1,,,,"Indigenous Peoples Day rally, march calls for the ‘Chief’ sign to come down – The Durango Herald",,,,,,,,,,,,,,,,,,
Evanston,Northwestern University,,IL,US,2020-10-12,,,,,,,NU Community Not Cops,"against racism, for abolishing university police",1,march,,,,,1,1,,,,https://dailynorthwestern.com/2020/10/19/campus/disarm-defund-disband-students-are-marching-every-day-until-northwestern-abolishes-nupd/,,,,,,,,,,,,,,,,,,
Fairborn,,,OH,US,2020-10-12,,,,,,,DPSU,for better workplace protections for school bus drivers during coronavirus pandemic,0,sickout,,,,,1,1,,,,https://www.fairborndailyherald.com/top-stories/44876/fcs-withdraws-determination-of-unauthorized-strike,,,,,,,,,,,,,,,,,,
Flagstaff,Flagstaff City Hall,,AZ,US,2020-10-12,,,,,,,general protesters,"for native peoples' rights, against colonialism, against fascism, against capitalism, against white supremacy, for LGBTQ rights",1,march,,,,,1,1,,Indigenous Peoples Day of Rage,,https://azdailysun.com/news/local/photos-indigenous-peoples-day-of-rage-against-colonialism-march-in-flagstaff/collection_9d321eb3-3a9a-5e54-bf7b-b33140895700.html,,,,,,,,,,,,,,,,,,
Frankfort,,,KY,US,2020-10-12,dozens,24,,24,,,general protesters,for answers about state unemployment claims,0,rally,0,0,0,0,1,1,,,,https://www.wlky.com/article/unemployment-rally-in-frankfort-demands-answers-regarding-unresolved-claims/34349385#,,,,,,,,,,,,,,,,,,
Green Bay,online,,WI,US,2020-10-12,,,,,,,general protesters,for Joe Biden for president,1,virtual rally,,,,,1,1,,Feat. Pete Buttigieg,,Eric Trump rallies Wisconsin GOP at Menomonee Falls bowling alley (wisconsinrapidstribune.com),,,,,,,,,,,,,,,,,,
Green Bay,,,WI,US,2020-10-12,,,,,,,general protesters,"for indigenous peoples' rights, against racism, against police brutality",1,rally,,,,,1,1,,,,https://www.greenbaypressgazette.com/story/news/2020/10/05/jonathon-tubby-family-helps-plan-indigenous-peoples-rally-green-bay/3564006001/,,,,,,,,,,,,,,,,,,
Jacksonville,"Tanner Hall, Illinois College",,IL,US,2020-10-12,more than 50,50,,50,,,students,"against racism, Black Lives Matter",1,protest,0,0,0,0,1,1,,,,"Illinois College students say they feel silenced, support Black Lives Matter during protest – ilhigheredcoalition (wordpress.com)",,,,,,,,,,,,,,,,,,
Kansas City,KCMO City Hall,,MO,US,2020-10-12,,,,,,,general protesters,"against racism, for defunding police, for firing police Chief Rick Smith",1,occupation,,,,,1,1,,,,https://news.yahoo.com/kansas-city-protests-continue-officer-205000479.html,,,,,,,,,,,,,,,,,,
Kennesaw,Govenors Gun Club,,GA,US,2020-10-12,500-600,500,,600,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,Feat. Donal Trump Jr.,,Donald Trump Jr. speaks to hundreds at Kennesaw campaign rally | Elections | mdjonline.com,,,,,,,,,,,,,,,,,,
Lafayette,El Curtola Blvd & Highway 24,,CA,US,2020-10-12,,,,,,,Contra Costa County Patriots,for President Trump,2,demonstration,,,,,1,1,,,,https://www.sfgate.com/news/bayarea/article/Council-To-Ask-State-To-Remove-Highway-Overpass-16006373.php,,,,,,,,,,,,,,,,,,
Lansing,Lansing City Hall,,MI,US,2020-10-12,,,,,,,retirees,against changes to retired city employees' health care benefits,0,protest,0,0,0,0,1,1,,,,Lansing retirees protest changes to benefits outside City Hall (lansingstatejournal.com),,,,,,,,,,,,,,,,,,
Lansing,,,MI,US,2020-10-12,,,,,,,general protesters,for Joe Biden,1,rally,,,,,1,1,,"Feat. Gov. Whitmer, Sen. Stabenow, and Doug Emhoff",,https://www.wilx.com/2020/10/13/whitmer-stabenow-rally-for-biden-harris-in-lansing/,,,,,,,,,,,,,,,,,,
Lincoln,Logan County Courthouse,,IL,US,2020-10-12,,,,,,,"Lincoln College students, general protestors",against racism,1,protest,0,0,0,0,1,1,,,,Anti racism rally asks for change (lincolncourier.com),,,,,,,,,,,,,,,,,,
Lincolnshire,Adlai Stevenson High School,,IL,US,2020-10-12,count video,75,,150,,,general protesters,for in-person or hybrid schooling during coronavirus pandemic,0,rally,,,,,1,1,,,,https://www.nbcchicago.com/news/local/students-parents-to-rally-for-in-person-classes-at-stevenson-high-school/2352329/,https://www.nbcchicago.com/news/local/students-and-parents-call-for-hybrid-learning-at-lincolnshire-protest/2353019/,,,,,,,,,,,,,,,,,
Los Angeles,"CBS Studio Center, Studio City",,CA,US,2020-10-12,about 100,100,,100,,,general protesters,against local TV news report on Armenia-Azerbaijan conflict,0,direct action,,,,,1,1,,roadblock,,https://deadline.com/2020/10/armenia-protest-cbs-studio-center-lapd-big-brother-the-talk-neighborhood-1234595744/,,,,,,,,,,,,,,,,,,
Louisville,Jefferson Square Park,,KY,US,2020-10-12,,,,,,,general protestors,"against racism, against police brutality",1,protest,4,0,2,0,1,1,,,,"LMPD Chief trying to bridge gap between protesters, police after Jefferson Square Park incident Monday afternoon | News | wdrb.com",,,,,,,,,,,,,,,,,,
Mason City,Democratic Party headquarters,,IA,US,2020-10-12,,,,,,,local Democrats,for Joe Biden,1,rally,0,0,0,0,1,1,,,,Cerro Gordo County Democrats discuss healthcare at rally | KGLO News,,,,,,,,,,,,,,,,,,
Menomonee Falls,Village Bowl,,WI,US,2020-10-12,400-500,400,,500,,,general protestors,for President Trump,2,rally,0,0,0,0,1,1,,Feat. Eric Trump,,Eric Trump rallies Wisconsin GOP at Menomonee Falls bowling alley (wisconsinrapidstribune.com),Eric Trump rallies Milton residents for his father | Fall 2020 general election | gazettextra.com,,https://www.sheboyganpress.com/story/news/politics/elections/2020/10/12/eric-trump-rallies-wisconsin-gop-menomonee-falls-bowling-alley/5966381002/,https://www.sheboyganpress.com/story/news/politics/elections/2020/10/12/eric-trump-rallies-wisconsin-gop-menomonee-falls-bowling-alley/5966381002/,,,,,,,,,,,,,,
Milton,Diamond Assets,,WI,US,2020-10-12,,,,,,,general protestors,for President Trump,2,rally,0,0,0,0,1,1,,Feat. Eric Trump,,https://www.channel3000.com/eric-trump-visits-milton-for-rally-event/,Eric Trump rallies Milton residents for his father | Fall 2020 general election | gazettextra.com,,,,,,,,,,,,,,,,,
Minneapolis,Boom Island Park,,MN,US,2020-10-12,,,,,,,Twin Cities Coalition 4 Justice for Jamar; Native Lives Matter; Native Lives Matter Youth Alliance; Justice for Travis Jordan; Black Lives Matter Minnesota,"for native peoples' rights, against police violence, against colonialism",1,rally; vigil,,,,,1,1,,,,https://www.facebook.com/events/258608245453447/,,,,,,,,,,,,,,,,,,
Nashville,2601 Bransford Ave,,TN,US,2020-10-12,,,,,,,general protesters,for resumption of school sports and in-person schooling option during coronavirus pandemic,0,rally,,,,,1,1,,,,https://fox17.com/community/back-to-school/nashville-parents-rally-to-support-kids-going-back-to-school-parents-at-sporting-events-games-tennessee-metro-schools-mnps,,,,,,,,,,,,,,,,,,
Nevada City,Pioneer Cemetery,,CA,US,2020-10-12,around 25 ,25,,25,,,general protesters,against tree removal work by electric utility,0,protest,0,0,0,0,1,1,,,,https://www.theunion.com/news/these-trees-embody-our-history-demonstrators-gather-in-pioneer-cemetery-to-protest-tree-removal/,Our View: Barking up the wrong tree | TheUnion.com,,,,,,,,,,,,,,,,,
New Bedford,,,MA,US,2020-10-12,,,,,,,general protesters,for President Trump,2,rally,0,1,0,0,1,1,,Republican candidate for Congress injured in confrontation as rally wrapped up.,,https://www.wpri.com/news/local-news/se-mass/candidate-says-she-was-hurt-during-scuffle-at-trump-rally-in-new-bedford/,"Ayanna Pressley challenger in Massachusetts says she was attacked at local Trump rally, suffered broken tibia | Fox News",https://www.usnews.com/news/best-states/massachusetts/articles/2020-10-14/candidate-says-she-was-hurt-during-scuffle-at-trump-rally,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-10-12,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police brutality",1,vigil; march,,,,,0,1,,,,https://www.instagram.com/p/CGQcsNVFnA8/,,,,,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-10-12,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,,,https://www.bkreader.com/2020/11/02/heres-what-happens-at-the-nightly-anti-racist-gathering-in-mccarren-park/,,,,,,,,,,,,,,,,,,
New York,Union Square,,NY,US,2020-10-12,,,,,,,Refuse Fascism NYC; Refuse Fascism,"against President Trump, against fascism",1,protest,,,,,1,1,,Trump/Pence out Now,,https://twitter.com/protest_nyc/status/1315701347149283331,,,,,,,,,,,,,,,,,,
Newark,online,,NJ,US,2020-10-12,about 75,75,,75,,,Coalition to Protect New Jersey Black Bears,"against bear hunting, for animal rights",0,virtual rally,0,0,0,0,1,1,,"car caravan initially planned to Drumthwacket, the governor's mansion in Princeton",,https://www.burlingtoncountytimes.com/story/news/new-jersey/2020/10/11/nj-bow-hunt-bear-begins-with-social-distancing-restrictions/5924509002/,"NJ bear hunt begins with social distancing, protest (northjersey.com)",https://www.thedailyjournal.com/story/news/new-jersey/2020/10/11/nj-bow-hunt-bear-begins-with-social-distancing-restrictions/5924509002/,,,,,,,,,,,,,,,,
Oklahoma City,Oklahoma County Detention Center,,OK,US,2020-10-12,count video,15,,20,,,general protesters,"against racism, against police violence, for carceral reform",1,demonstration,,,,,1,1,,mock funeral,,https://ktul.com/news/local/local-activists-hold-mock-funeral-procession-to-protest-oklahomas-broken-justice-system,,,,,,,,,,,,,,,,,,
Overland Park,Center for Women's Health,,KS,US,2020-10-12,,,,,,,40 Days for Life,against abortion rights,2,vigil,,,,,1,1,,,,http://theleaven.org/co-founder-of-40-days-for-life-campaign-leads-rally/,,,,,,,,,,,,,,,,,,
Peoria,"Planned Parenthood, 2709 Knoxville Ave",,IL,US,2020-10-12,,,,,,,40 Days for Life,against abortion rights,2,vigil,,,,,1,1,,,,https://www.pjstar.com/photogallery/IP/20201028/PHOTOGALLERY/102809998/PH/1,,,,,,,,,,,,,,,,,,
Philadelphia,"Harriett's Bookshop, Fishtown",,PA,US,2020-10-12,count video,75,,125,,,general protesters,against racism,1,march; sit-in,,,,,0,1,,,,https://www.nbcphiladelphia.com/news/local/philly-book-shop-owner-stages-sit-in-and-march-after-receiving-racist-email/2561624/,https://thestudentvanguard.com/6318/culture/sisterhood-sit-in-a-modern-protest/,Harriett’s Bookshop is reopening with a sit-in demonstration (inquirer.com),,,,,,,,,,,,,,,,
Philadelphia,Independence Mall,,PA,US,2020-10-12,,,,,,,Refuse Fascism Philly; Refuse Fascism,"against President Trump, against fascism",1,rally,,,,,1,1,,Trump/Pence out Now,,https://www.facebook.com/events/377496803255181/?event_time_id=377496809921847,,,,,,,,,,,,,,,,,,
Philadelphia,Trump campaign office,,PA,US,2020-10-12,several dozen,36,,36,,,general protesters,for President Trump,2,rally,0,0,0,0,0,1,,Feat. Rudy Guliani,,https://whyy.org/articles/giuliani-rallies-italians-for-trump-in-cramped-philly-conference-room/,https://6abc.com/politics/former-nyc-mayor-rudy-giuliani-makes-stop-at-trump-rally-in-philadelphia/6974379/,,,,,,,,,,,,,,,,,
Philippi,,,WV,US,2020-10-12,,,,,,,students,for resuming in-person schooling in areas with low case counts during coronavirus pandemic,1,protest,,,,,1,1,,,,https://www.wboy.com/top-stories/barbour-county-students-protest-virtual-learning-method/,,,,,,,,,,,,,,,,,,
Pittsburgh,office of Sen. Pat Toomey,,PA,US,2020-10-12,,,,,,,general protesters,against filling vacant U.S. Supreme Court seat before inauguration,1,protest,,,,,1,1,,,,https://pittsburgh.cbslocal.com/2020/10/13/us-supreme-court-pat-toomey-amy-coney-barrett/,,,,,,,,,,,,,,,,,,
Pittsburgh,Schenley Park,,PA,US,2020-10-12,,,,,,,general protesters,for keeping Christopher Columbus statue in park,2,rally,,,,,0,1,,,,https://www.pghcitypaper.com/pittsburgh/photos-protesters-call-for-the-tearing-down-of-christopher-columbus-statue-on-indigenous-peoples-day/Content?oid=18167355,https://pittsburgh.cbslocal.com/2020/10/12/pittsburgh-christopher-columbus-statue-protesters/,,,,,,,,,,,,,,,,,
Pittsburgh,Schenley Park,,PA,US,2020-10-12,a couple dozen,24,,24,,,POC-led groups,"for removal of Christopher Columbus statue from park, against racism, fuck Columbus",1,protest,0,0,0,0,0,1,20201012-pgh-columbus,painted plastic covering statue,,https://pittsburgh.cbslocal.com/2020/10/12/pittsburgh-christopher-columbus-statue-protesters/,https://www.pghcitypaper.com/pittsburgh/photos-protesters-call-for-the-tearing-down-of-christopher-columbus-statue-on-indigenous-peoples-day/Content?oid=18167355,https://pittsburgh.cbslocal.com/2020/10/12/pittsburgh-christopher-columbus-statue-protesters/,,,,,,,,,,,,,,,,
Pittsburgh,Schenley Park,,PA,US,2020-10-12,a few,3,,3,,,general protesters,against removal of Christopher Columbus statue,2,counter-protest,0,0,0,0,0,1,20201012-pgh-columbus,shouted at protesters,,https://pittsburgh.cbslocal.com/2020/10/12/pittsburgh-christopher-columbus-statue-protesters/,https://www.pghcitypaper.com/pittsburgh/photos-protesters-call-for-the-tearing-down-of-christopher-columbus-statue-on-indigenous-peoples-day/Content?oid=18167355,,,,,,,,,,,,,,,,,
Providence,I-95,,RI,US,2020-10-12,around 15; around 40,15,,40,,,general protesters,for native peoples' rights,1,direct action,7,0,0,0,0,1,,roadblock,,https://www.wpri.com/news/local-news/providence/protesters-block-i-95-with-u-haul-bring-traffic-to-a-standstill/,https://upriseri.com/2020-10-13-route-95/,https://turnto10.com/news/local/state-police-arrest-7-in-protest-that-blocked-i-95-in-providence,Seven people arrested after protest blocks I-95 North in Providence | ABC6,Seven arrested after protesters block Route 95 in Providence (providencejournal.com),East Bridgewater man among 7 arrested after Columbus Day protesters block Route 95 in Providence (enterprisenews.com),,,,,,,,,,,,,
Providence,Rhode Island State House,,RI,US,2020-10-12,count pic,24,,24,,,Black Lives Matter Rhode Island; unions,"for changing Columbus Day to Indigenous Peoples Day, against racism",1,rally,,,,,1,1,,,,https://turnto10.com/news/local/rally-calls-on-ri-leaders-to-change-columbus-day-to-indigenous-peoples-day,,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-10-12,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones",1,occupation,0,0,0,0,1,1,,,,https://www.journalstandard.com/news/20201024/protesters-march-to-winnebago-county-jail-in-support-of-people-killed-injured-by-police,https://www.rrstar.com/news/20201004/sit-in-at-rockford-city-hall-pushes-for-name-of-officer-in-shooting,https://twitter.com/OccupyRKFD/status/1315747425378762753,https://twitter.com/OccupyRKFD/status/1315849432294883328,,,,,,,,,,,,,,,
Roswell,,,NM,US,2020-10-12,count video,100,,150,,,general protesters,for resuming school sports competitions during coronavirus pandemic,0,protest,,,,,1,1,,,,https://www.krqe.com/sports/local-sports/protest-in-roswell-calls-to-lift-ban-on-fall-sports-competitions/,,,,,,,,,,,,,,,,,,
Sacramento,California State Capitol,,CA,US,2020-10-12,,,,,,,general protestors,"for Proposition 16, for ending state ban on affirmative action, for racial and gender equality",1,rally,,,,,1,1,,,,https://sf.funcheap.com/level-playing-field-tour-unity-rally-prop-16/,,,,,,,,,,,,,,,,,,
Saint Louis,Tower Grove Park,,MO,US,2020-10-12,,,,,,,general protesters,for native peoples' rights,1,rally,,,,,1,1,,2nd Annual Indigenous Peoples' Day Celebration,,https://www.facebook.com/events/2401668040082524/,,,,,,,,,,,,,,,,,,
San Antonio,Piazza Italia to the Alamo to Bexar County Courthouse to San Fernando Cathedra to San Antonio City Hall,,TX,US,2020-10-12,nearly 100,100,,100,,,general protesters,"for native peoples' rights, for human rights",1,rally; march,,,,,1,1,,,,https://www.ktsa.com/indigenous-peoples-day-march-stops-at-alamo-and-other-systems-of-power/,https://www.sacurrent.com/the-daily/archives/2020/10/11/downtown-march-scheduled-for-monday-october-12-san-antonios-indigenous-peoples-day,,,,,,,,,,,,,,,,,
San Francisco,Alcatraz Island,,CA,US,2020-10-12,,,,,,,Indigenous Peoples Sunrise Ceremonies,"for indigenous peoples' rights, in commemoration of 1969 occupation of Alcatraz Island by Alcatraz-Red Power Movement",1,rally,,,,,0,1,,,,https://sf.funcheap.com/alcatraz-sunrise-ceremony-indigenous-peoples-day/,,,,,,,,,,,,,,,,,,
San Francisco,Otis and Gough,,CA,US,2020-10-12,,,,,,,general protestors,defund the police,1,protest,,,,,0,1,,,,https://www.instagram.com/p/CGOveuVBfQB/,,,,,,,,,,,,,,,,,,
San Francisco,outside the office of Sen. Dianne Feinstein,,CA,US,2020-10-12,,,,,,,activists,against filling vacant U.S. Supreme Court seat before inauguration,1,rally,0,0,0,0,1,1,,,,https://sanfrancisco.cbslocal.com/2020/10/12/activists-urge-sen-feinstein-to-take-actions-to-stop-supreme-court-confirmation-hearings/,,,,,,,,,,,,,,,,,,
San Francisco,Tenderloin,,CA,US,2020-10-12,about 150,150,,150,,,general protesters,"against racism, for abolishing police",1,march,,,,,1,1,,,,https://www.ktvu.com/news/protesters-march-over-deadly-sfpd-shooting,,,,,,,,,,,,,,,,,,
San Jose,City Hall,,CA,US,2020-10-12,,,,,,,Centro Aztlan Chicomoztoc,for indigenous peoples' rights,1,protest,,,,,1,1,,,,https://www.indybay.org/newsitems/2020/10/09/18837414.php,,,,,,,,,,,,,,,,,,
San Rafael,Mission San Rafael Arcangel,,CA,US,2020-10-12,more than 40; 40-50,40,,50,,,general protesters,"for native peoples' rights, against colonialism",1,protest,5,0,0,1,1,1,,Red Paint Rally. Protesters pulled down statue of Junipero Serra,,https://sanfrancisco.cbslocal.com/2020/10/12/protesters-topple-junipero-serra-statue-in-san-rafael-to-mark-indigenous-peoples-day/,https://www.marinij.com/2020/10/13/san-rafael-police-five-arrested-in-connection-with-toppling-junipero-serra-statue/,https://www.timesheraldonline.com/2020/10/14/san-rafael-police-five-arrested-in-connection-with-toppling-junipero-serra-statue/,https://www.courthousenews.com/protesters-who-toppled-statue-of-catholic-saint-face-vandalism-charges/,"5 Arrested In Vandalism, Toppling Of Junipero Serra Statue At San Rafael Church – CBS San Francisco (cbslocal.com)",,,,,,,,,,,,,,
Sandwich,Forestdale Elementary School ,,MA,US,2020-10-12,nearly 50,50,,50,,,Sierra Club of Cape Cod; Cape Cod Democratic Socialists of America; Cape Cod Women's International League for Peace and Freedom; Coalition for Social Justice; Faith Communities Environmental Network; Harwich Climate Action Network; Nauset Fellowship; Southeastern Massachusetts Pine Barrens Alliance; Sustainable Practices ,"against construction of gun range in neighborhood, for environmental conservation",0,rally,,,,,1,1,,,,https://www.capecodtimes.com/news/20201011/sandwich-rally-planned-to-protest-machine-gun-range,https://www.capenews.net/regional_news/demonstrators-in-sandwich-protest-proposed-machine-gun-range/article_681ee849-9104-5ce2-8dc6-56b2b92ad08a.html,https://www.capecod.com/newscenter/gun-range-protesters-call-for-more-consideration-of-environment-community/,https://www.capecodtimes.com/story/news/2020/10/12/residents-gather-in-sandwich-to-protest-proposed-machine-gun-range/114269216/,,,,,,,,,,,,,,,
Sanford,Sanford Orlando International Airport,,FL,US,2020-10-12,thousands,2000,,2000,,,general protesters,for President Trump,2,rally,,,,,1,1,,feat. President Trump,,https://www.wfla.com/news/florida/president-trump-to-hold-campaign-rally-on-monday-in-central-florida/,https://www.businessinsider.com/photos-from-trumps-florida-rally-show-supporters-not-wearing-masks-2020-10,Thousands Greet Trump in Sanford for Post-COVID-19 Rally (spectrumnews1.com),"A week after hospitalization for COVID-19, Trump plans big White House event on Saturday, rally in Florida on Monday - Capital Gazette",https://www.news-journalonline.com/story/news/2020/10/10/trump-florida-rally-sanford-election-politics/5953475002/,"Trump rallies in Sanford, 1st rally since COVID-19 diagnosis (pnj.com)",https://www.floridaphoenix.com/blog/nikki-fried-urges-trump-campaign-rally-attendees-to-mask-up-against-covid-19/,https://www.timesleader.com/top-stories/807766/trump-to-hold-rally-at-wb-scranton-international-airport-monday-evening,,,,,,,,,,,
Santa Fe,Santa Fe Plaza,,NM,US,2020-10-12,around 50 ,50,,50,,,general protesters,"against racism, against colonialism, for native peoples' rights, for removal of racist monument",1,protest,2,0,0,1,1,1,,,,https://www.sfreporter.com/news/2020/10/12/not-so-peaceful-protest/,https://www.lcsun-news.com/story/news/2020/10/12/santa-fe-plaza-obelisk-monument-protesters-indigenous-peoples-day/5973533002/,https://www.santafenewmexican.com/news/local_news/santa-fe-mayor-received-warning-protesters-intended-to-remove-obelisk/article_665cd40a-29b6-11eb-b39f-3bd150b2a425.html,https://www.kob.com/albuquerque-news/santa-fe-leaders-figure-out-how-to-move-forward-after-protest-where-obelisk-was-knocked-down/5894274/?cat=500,"Mayor, police chief defend response on Plaza | Local News | santafenewmexican.com",https://www.abqjournal.com/1513055/sfpd-releases-footage-of-obelisk-protesters-clashing-with-officers.html,,,,,,,,,,,,,
Saugerties,Market St and Main St,,NY,US,2020-10-12,,,,,,,general protesters,"against racism, against police brutality",1,demonstration,,,,,1,1,,,,https://www.dailyfreeman.com/market-and-main-protest-against-injustice-in-saugerties-ny/video_3547c417-af6f-5f1b-8397-fb6b01334ac0.html,https://hudsonvalleyone.com/2020/07/24/letter-black-lives-matter/,,,,,,,,,,,,,,,,,
Seattle,Green Lake Park,,WA,US,2020-10-12,,,,,,,Veterans for Peace Seattle Chapter 92; Refuse Fascism; Refuse Fascism Seattle,"against President Trump, against fascism",1,rally,,,,,1,1,,Trump/Pence out Now,,https://www.facebook.com/events/451664835780169/,,,,,,,,,,,,,,,,,,
Seattle,Pioneer Square,,WA,US,2020-10-12,,,,,,,Indigenous Protectors United,"for native peoples' rights, against colonialism, against ICE",1,march,,,,,0,1,,,,https://www.instagram.com/p/CGQathWpTJr/,,,,,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-10-12,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,
Sioux City,Sioux City Public Museum,,IA,US,2020-10-12,,,,,,,general protesters,for indigenous peoples' rights,1,rally,,,,,1,1,,Indigenous Peoples Day,,https://siouxcityjournal.com/news/local/sioux-city-indigenous-peoples-day-event-honors-past-eyes-future-of-americas-first-inhabitants/article_6866a7ad-3ffb-5186-9f5a-666774e33394.html,,,,,,,,,,,,,,,,,,
Stratham,,,NH,US,2020-10-12,,,,,,,general protesters,for indigenous peoples' rights,1,demonstration,,,,,1,1,,,,https://www.seacoastonline.com/news/20201012/rsquogoal-is-inclusivenessrsquo-indigenous-peoplesrsquo-day-honored-on-seacoast,,,,,,,,,,,,,,,,,,
Tarrytown,Mario Cuomo Bridge,,NY,US,2020-10-12,,,,,,,National Day Laborer Organizing Network,for financial relief for undocumented immigrant workers during coronavirus pandemic,1,march,,,,,1,1,,,,https://twitter.com/NDLON/status/1315701675579981825,,,,,,,,,,,,,,,,,,
Toledo,,,OH,US,2020-10-12,about 30,30,,30,,,United Auto Workers,for Joe Biden,1,rally,0,0,0,0,1,1,,Feat. Joe Biden,,https://www.wkrn.com/news/president-trump-holds-rally-in-florida-dem-nominee-biden-campaigned-in-ohio/,"WATCH: Biden makes big push in Ohio, once seen as long shot for him | PBS NewsHour",,,,,,,,,,,,,,,,,
Tucson,Pima County jail,,AZ,US,2020-10-12,about 35,35,,35,,,general protestors,"against arrest of Native Americans who protested border wall, against Trump border wall",1,protest,0,0,0,0,0,1,,,,Several arrested at Indigenous Peoples Day protest near border checkpoint west of Tucson | Local news | tucson.com,,,,,,,,,,,,,,,,,,
Tyler,on the square in downtown Tyler,,TX,US,2020-10-12,,20,,20,,,general protesters,for Democratic candidates for office,1,rally,0,0,0,0,1,1,,,,https://tylerpaper.com/news/local/democratic-candidates-host-rally-encouraging-voting-share-their-platforms/article_317a6062-0e41-11eb-94bd-b379a221c405.html,,,,,,,,,,,,,,,,,,
Washington,Dirksen Senate Office Building,,DC,US,2020-10-12,,,,,,,general protesters,against filling vacant U.S. Supreme Court seat before inauguration,1,protest; direct action,21,0,0,0,0,1,20201012-dc-scotus,sit-in; blocked building entrance,,https://twitter.com/Marissa_Jae/status/1315636836442812416,https://www.wusa9.com/article/news/local/protests/protesters-demonstrators-us-supreme-court-amy-coney-barrett/65-4a218782-9e82-4316-9132-ca27bedd1a49,https://www.washingtonpost.com/local/supreme-court-protest/2020/10/12/f9cd3bac-0c8e-11eb-b1e8-16b59b92b36d_story.html,https://www.wusa9.com/article/news/local/protests/protesters-demonstrators-us-supreme-court-amy-coney-barrett/65-4a218782-9e82-4316-9132-ca27bedd1a49,,https://www.boston.com/news/national-news/2020/10/12/21-protesters-arrested-supreme-court-confirmation-hearings/,,,,,,,,,,,,,
Washington,Hart Senate Office Building,,DC,US,2020-10-12,,,,,,,general protesters,against filling vacant U.S. Supreme Court seat before inauguration,1,protest,0,0,0,0,0,1,20201012-dc-scotus,chanted and held signs,,https://twitter.com/Marissa_Jae/status/1315642228426051584,,,,,,,,,,,,,,,,,,
Washington,Hart Senate Office Building,,DC,US,2020-10-12,,,,,,,general protesters,for confirming Amy Coney Barrett to U.S. Supreme Court,2,counter-protest,0,0,0,0,0,1,20201012-dc-scotus,chanted and held signs,,https://twitter.com/Marissa_Jae/status/1315642228426051584,,,,,,,,,,,,,,,,,,
Washington,U.S. Supreme Court,,DC,US,2020-10-12,about 50,50,,50,,,general protesters,"against filling U.S. Supreme Court vacancy before inauguration, against President Trump, for abortion rights",1,protest,0,0,0,0,1,1,20201012-dc-scotus,chanted and held signs; verbal clashes with counter-protesters,,https://twitter.com/bkindivisible/status/1315657772399292417,https://twitter.com/Marissa_Jae/status/1315650490252877825,https://www.washingtonpost.com/local/supreme-court-protest/2020/10/12/f9cd3bac-0c8e-11eb-b1e8-16b59b92b36d_story.html,,,,,,,,,,,,,,,,
Washington,U.S. Supreme Court,,DC,US,2020-10-12,,,,,,,general protesters,"for confirming Amy Coney Barrett to U.S. Supreme Court, against abortion rights",2,counter-protest,0,0,0,0,0,1,20201012-dc-scotus,chanted and held signs; verbal clashes with protesters,,https://twitter.com/Marissa_Jae/status/1315650490252877825,https://www.washingtonpost.com/local/supreme-court-protest/2020/10/12/f9cd3bac-0c8e-11eb-b1e8-16b59b92b36d_story.html,,,,,,,,,,,,,,,,,
