CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Springfield,outside district office of US Rep Pat Meehan (R),PA,US,2017-08-09,nearly a dozen,12,,12,,,general protestors,protest Meehan's voting record on immigration,0,protest,0,0,0,0,1,1,http://www.delcotimes.com/article/DC/20170810/NEWS/170819969,,,,,,
Washington,,DC,US,2017-08-09,,,,,,,general protestors,mock President Trump,1,demonstration,0,0,0,0,1,1,http://www.toledoblade.com/Politics/2017/08/09/Giant-inflatable-Trump-chicken-sighted-near-White-House.html,,,,,,
Woodbury,outside of Republican Rep. Jason Lewis’s home,MN,US,2017-08-09,more than a dozen,12,,12,,,Take Action Minnesota,Demand Lewis oppose cuts to Medicaid funding,1,protest,0,0,0,0,1,1,http://thefederalist.com/2017/08/10/watch-liberals-protest-outside-gop-congressman-home-wife-daughters-police/,http://www.kansas.com/news/politics-government/national-politics/article166494342.html,http://www.mankatofreepress.com/region/minnesota-s-rep-lewis-calls-protest-at-his-home-dangerous/article_45206c2e-c144-545a-9871-cb38095d6874.html,,,,
Worcester,,MA,US,2017-08-09,,,,,,,general protestors,Oppose Governor Baker's bill authorizing state and local cooperation with ICE,1,protest,0,0,0,0,1,1,http://www.ktvq.com/story/36099201/immigration-rally-held-in-springfield-to-oppose-governor-bakers-bill,,,,,,
Albany,,NY,US,2017-08-10,,,,,,,350.org,protest construction of the CPV electric generating plant under construction in Wawayanda,1,protest,0,0,0,0,1,1,http://www.midhudsonnews.com/News/2017/August/12/CPV_frack_rally-12Aug17.html,,,,,,
Austin,city hall,TX,US,2017-08-10,more than 100,100,,100,,,Austin People's Climate Mobilization,Call for carbon-free Austin by 2030,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/698086193717187/?,http://www.statesman.com/news/local/about-100-protesters-call-for-austin-end-fossil-fuel-use-for-power/tzB2tnlzGk0WVKHYCBQdAP/,,,,,
Burlington,Church St; outside Ben & Jerry's,VT,US,2017-08-10,,,,,,,Regeneration Vermont,against herbicide report in Ben&Jerrys ice cream,0,protest,0,0,0,0,1,1,http://www.burlingtonfreepress.com/story/news/2017/08/10/protesters-ben-jerrys-voice-concerns-herbicides/555405001/,,,,,,
Chicago,along the 606 Trail,IL,US,2017-08-10,,,,,,,students,against education funding cuts,0,protest,0,0,0,0,1,1,http://abc7chicago.com/education/school-funding-dispute-continues/2292625/,,,,,,
Dallas,Pioneer Park Cemetary,TX,US,2017-08-10,about 40,40,,40,,,general protestors,Protesting confederate statue,0,protest,0,0,0,0,1,1,https://www.dmagazine.com/frontburner/2017/08/at-the-confederate-war-memorial-a-protest-devolves-into-shouting-match/,,,,,,
Dallas,Pioneer Park Cemetary,TX,US,2017-08-10,roughly 10,10,,10,,,general protestors,"Counter-protest, suppotingthe confederate statue",0,protest,0,0,0,0,1,1,https://www.dmagazine.com/frontburner/2017/08/at-the-confederate-war-memorial-a-protest-devolves-into-shouting-match/,,,,,,
Durham,CCB Plaza,NC,US,2017-08-10,just over 30,30,,30,,,Inside-Outside Alliance; Alerta Migratoria NC,Criticize prison conditions in North Carolina,0,protest,0,0,0,0,1,1,http://www.heraldsun.com/news/local/counties/durham-county/article166576202.html,https://www.indyweek.com/news/archives/2017/08/11/inside-outside-alliance-alerta-migratoria-protest-the-durham-sheriffs-video-visitation-and-ice-detainer-policies,http://www.heraldsun.com/news/local/counties/durham-county/article166435842.html,,,,
Garden City,Downtown,NY,US,2017-08-10,about 50,50,,50,,,New York Communities for Change,Rally for affordable housing,0,rally; march,0,0,0,0,1,1,http://www.news12.com/story/36112159/protesters-demand-affordable-housing-in-garden-city,,,,,,
Gray,,TN,US,2017-08-10,NA,10,,10,,,general protestors,Oppose construction of local substance abuse treatment clinic,0,protest,0,0,0,0,1,1,http://www.johnsoncitypress.com/Health-Care/2017/08/12/Gray-community-braces-for-addiction-clinic-opening.html?ci=featured&lp=6&ti=,,,,,,
Monmouth,Monmouth-Roseville auditorium,ME,US,2017-08-10,close to a hundred,100,,100,,,general protestors,Rally for education funding,0,rally,0,0,0,0,1,1,http://www.reviewatlas.com/news/20170811/education-funding-advocates-rally-public,,,,,,
New Port Richey,outside Chasco Elementary,FL,US,2017-08-10,NA,3,,3,,,resident Nick Taldone,Criticize proximity of new homeless shelter to Chasco Elementary,0,protest,0,0,0,0,1,1,http://www.abcactionnews.com/news/region-pasco/residents-go-to-school-to-protest-homeless-shelter-location,,,count from video,,,
New York,outside of District Attorney Darcel Clark's office in the Bronx,NY,US,2017-08-10,hundreds,200,,200,,,Women's March organzier Carmen Perez,Support man wrongly accused of attempted murder,0,protest,0,0,0,0,1,1,http://pix11.com/2017/08/10/this-is-more-than-just-pedro-hernandezs-mother-speaks-at-protest-set-up-by-womens-march-organizer/,,,,,,
New York,Police precinct,NY,US,2017-08-10,,,,,,,Black Lives Matter,Protesting plice brutality against mentally ill,0,protest,,,,,1,1,http://www.nydailynews.com/new-york/activists-set-protest-police-violence-mentally-ill-article-1.3417674,,,,,,
Rochester,Downtown,MN,US,2017-08-10,about 200; approximately 150,150,,200,,,Albert Lea-Save Our Hospital,"Call attention to their efforts to keep a full-service, acute care hospital in Albert Lea",0,rally,0,0,0,0,1,1,http://www.kaaltv.com/news/quotsave-our-hospitalquot-protests-outside-mayo-clinic-in-rochester-minnesota-/4569732/,http://www.southernminn.com/owatonna_peoples_press/news/local/article_39fdaa04-3413-5aa0-92f8-08f930f9bd24.html,http://minnesota.cbslocal.com/2017/08/10/albert-lea-hospital-rally/,,,,
Savannah,outside Bible Baptist Church,GA,US,2017-08-10,,,,,,,general protestors,anti-Trump; anti-US Rep Buddy Carter,1,protest,0,0,0,0,1,1,http://savannahnow.com/news/2017-08-10/rep-carter-talks-about-impeachment-snatching-knots-savannah-town-hall,,,,,,
Alexandria,U.S. Patent and Trademark Office,VA,US,2017-08-11,at least a dozen,12,,12,,,general protestors,Protesting lack of patent enforcement,0,protest,0,0,0,0,1,1,http://www.washingtonexaminer.com/former-trump-aide-michael-caputo-leads-patent-protest/article/2631296,,,,,,
Carnegie,Carnegie Stages,PA,US,2017-08-11,,,,,,,UltraViolet,Handmaid’s March for Carnegie Stages ,1,march,,,,,1,1,https://www.pghcitypaper.com/Blogh/archives/2017/08/10/theater-targeted-by-protesters-holds-handmaids-tale-walk-tomorrow,http://www.post-gazette.com/ae/theater-dance/2017/08/10/Off-the-Wall-demonstrates/stories/201708100148,,,,,
Charleston,Medical University of South Carolina,SC,US,2017-08-11,more than a dozen,12,,12,,,Healthcare Workers United,Criticize the new doctor compensation plan; draw attention to diversity issues; call for a fairer employee grievance process,0,protest,0,0,0,0,1,1,http://www.postandcourier.com/features/your_health/protesters-rally-outside-musc-board-of-trustees-meeting-over-compensation/article_2dad0b14-7ebc-11e7-82cd-1bdabacc42d5.html,,,,,,
Charlotesville,University of Virginia,VA,US,2017-08-11,,,,,,,students,"against white supremacy, against fascism",1,counter-protest,0,0,0,0,0,1,http://www.dailymail.co.uk/news/article-4783914/White-nationalists-hold-torch-lit-march-UVA-campus.html,https://twitter.com/FordFischer/status/1425617874584997891,,,,,
Charlottesville,University of Virginia,VA,US,2017-08-11,hundreds,200,,200,,,Nationalist Front,"for white supremacy, blood and soil, you will not replace us, white lives matter",2,march,1,several,1,0,1,1,https://www.nytimes.com/2017/08/12/us/charlottesville-protest-white-nationalist.html,https://twitter.com/FordFischer/status/1425617874584997891,,,,,
Fitchburg ,,MA,US,2017-08-11,,,,,,,general protestors,against child abuse,0,rally,0,0,0,0,1,1,http://www.lowellsun.com/news/ci_31214734/fight-justice-rally-jeremiah,,,,,,
Harris County,Criminal Justice Center,TX,US,2017-08-11,,,,,,,general protestors,Protesting lack of investigation into inmate who supposedly hanged himself,0,protest,0,0,0,0,1,1,http://cw39.com/2017/08/11/live-family-supporters-protest-at-harris-county-criminal-justice-center-months-after-inmate-vincent-youngs-alleged-suicide/,,,,,,
Lawton,Eisenhower High School ,OK,US,2017-08-11,,,,,,,The Black Star Project,Million Father March 2017,0,march,,,,,1,1,http://www.swoknews.com/local/schools-encouraging-march-fathers-first-day-classes,,,,,,
Marion,Marion Juvenile Detention Center,AR,US,2017-08-11,a handful,,,,,,Black Lives Matter,Protesting police shooting of black man,0,protest,0,0,0,0,1,1,http://www.wmcactionnews5.com/story/36113914/blm-to-rally-in-support-of-ar-teen-killed-by-officers,http://www.localmemphis.com/news/local-news/black-lives-matter-rally-in-the-rain-in-honor-of-marion-ar-teen/787459987,,,,,
Minneapolis,Downtown,MN,US,2017-08-11,hundreds,200,,200,,,general protestors,Rally for Australian woman killed by police,0,rally,0,0,0,0,1,1,http://www.cbsnews.com/news/minneapolis-holds-rally-to-remember-justine-damond/,,,,,,
Portland,Outside Planned Parenthood Clinic,ME,US,2017-08-11,,,,,,,general protestors,Anti-abortion,2,protest,0,0,0,0,1,1,https://bangordailynews.com/2017/08/12/news/portland/abortion-protesters-return-to-portland-after-court-rules-against-them/,,,,,,
Richmond,Outside Henrico Courthouse,VA,US,2017-08-11,about 50,50,,50,,,ACLU; NARAL Pro Choice Virginia; Planned Parenthood,Oppose Virginia's targeted restrictions of abortion providers,1,protest,0,0,0,0,1,1,http://wtvr.com/2017/08/11/abortion-regulation-rollback-lawsuit/,,,,,,
Saint Charles,Outside the Kane County Judicial Center,IL,US,2017-08-11,more than 100,100,,100,,,Show Me Your Stethoscope Foundation; Illinois Nurses Association,Stop Assaults on Medical Professionals Rally ,0,rally,0,0,0,0,1,1,http://www.kcchronicle.com/2017/08/11/nurses-rally-in-kane-county-in-response-to-delnor-hostage-incident/ab6enhv/,http://www.dailyherald.com/news/20170811/nurses-rally-for-better-help-with-violence-on-their-job,,,,,
Sharpsburg ,on the Potomac River,VA,US,2017-08-11,,,,,,,general protestors,Oppose TransCanada's Eastern Panhandle Expansion Project,1,demonstration,0,0,0,0,1,1,http://www.times-news.com/news/kayakers-protest-proposed-pipeline-under-potomac-in-maryland/article_cfddba14-9906-5213-aecd-27c7914e6abb.html,,,,,,
Water Mill,Outside home of billionaire Schwarzman,NY,US,2017-08-11,a bunch,,,,,,general protestors,Protesting Schwarzman's supporting Trump financially,1,protest,0,0,0,0,1,1,http://www.danspapers.com/2017/08/demonstration-billionaire-steven-schwarzmans-water-mill/,,,,,,
Alameda,outside City Hall ,CA,US,2017-08-12,,,,,,,tenant activists ,maintain “just cause” eviction protections,1,rally,0,0,0,0,1,1,http://www.eastbaytimes.com/2017/08/12/bay-area-housing-tenants-to-rally-in-alameda-on-saturday/,,,,,,
Atlanta,Downtown,GA,US,2017-08-12,hundreds,200,,200,,,general protestors,Condemning violence and racism in Charlottesville,1,protest,0,0,0,0,1,1,http://www.fox5atlanta.com/news/273504753-story,,,,,,
Atlanta,Netroots Nation Conference at Hyatt Regency Atlanta,GA,US,2017-08-12,,,,,,,general protestors,against  Rep. Stacey Evans (D-Ga.),0,protest,0,0,0,0,0,1,https://www.washingtonpost.com/news/powerpost/wp/2017/08/12/shouting-trust-black-women-netroots-protesters-disrupt-speech-from-white-georgia-candidate/?utm_term=.76730d9c1320,,,,,,
Austin,Travis County Jail,TX,US,2017-08-12,Facebook: 105 went,105,,105,,,general protestors,Rally against hate and racism seen in Charlottesville,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1446769442076804/,,,,,,
Baltimore,Ravens stadium,MD,US,2017-08-12,about 15,15,,15,,,general protestors,Protesting Ravens' decision not to sign Colin Kaepernick,0,protest,0,0,0,0,1,1,http://www.baltimoresun.com/sports/ravens/ravens-insider/bs-sp-ravens-protest-kaepernick-20170812-story.html,,,,,,
Baltimore,west Baltimore; in front of CVS,MD,US,2017-08-12,a few dozen,36,,36,,,general protestors,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,0,1,http://www.wbaltv.com/article/dozens-rally-in-baltimore-in-solidarity-with-charlottesville/12003725?utm_campaign=WBALTV&utm_content=599071a704d30150e5e7117a&utm_medium=twitter&utm_source=trueAnthem:+New+Content,,,,,,
Berkeley,,CA,US,2017-08-12,,,,,,,general protestors,for white supremacy,2,rally,0,0,0,0,1,1,http://www.modbee.com/news/article167418877.html,,,,,,
Berkeley,,CA,US,2017-08-12,,,,,,,general protestors,against white supremacy,1,protest,0,1,0,0,0,1,http://www.modbee.com/news/article167418877.html,,,,,,
Charlottesville,Emancipation Park,VA,US,2017-08-12,approximately 500,500,,500,,,National Socialist Movement; League of the South; Nationalist Front; Ku Klux Klan,for white supremacy,2,rally,unspecified,8,0,0,1,1,http://www.dailyprogress.com/news/local/unite-the-right-rally-sparks-first-amendment-questions/article_cb9c1392-74bc-11e7-b546-4770bc8e73e0.html,http://www.dailymail.co.uk/news/article-4783914/White-nationalists-hold-torch-lit-march-UVA-campus.html,http://www.npr.org/sections/thetwo-way/2017/08/12/542982015/home-to-university-of-virginia-prepares-for-violence-at-white-nationalist-rally,,https://twitter.com/FordFischer/status/1425843703638331396,https://www.aljazeera.com/features/2017/8/14/charlottesville-witnessing-the-monstrous-attack,https://www.aljazeera.com/news/2017/8/17/charlottesville-attack-what-where-and-who
Charlottesville,Emancipation Park,VA,US,2017-08-12,,,,,,,general protestors,"against white supremacy, Black Lives Matter, for women's liberation, for queer liberation, for workers' rights",1,counter-protest,0,0,0,0,0,1,https://www.aljazeera.com/features/2017/8/14/charlottesville-witnessing-the-monstrous-attack,https://twitter.com/FordFischer/status/1425843703638331396,,Direct counter-protest at Emancipation Park that later merged with larger march.,,,
Charlottesville,McGuffey Park; Justice Park,VA,US,2017-08-12,approximately double the white nationalists,1000,,1000,,,Congregate C’ville,against white supremacy,1,counter-protest,unspecified,35,0,0,0,1,http://fox8.com/2017/08/27/charlottesville-charges-3-more-in-white-supremacist-protest/,https://www.nytimes.com/2017/08/12/us/charlottesville-protest-white-nationalist.html,http://www.npr.org/sections/thetwo-way/2017/08/12/542982015/home-to-university-of-virginia-prepares-for-violence-at-white-nationalist-rally,,https://www.aljazeera.com/features/2017/8/14/charlottesville-witnessing-the-monstrous-attack,https://twitter.com/andrewkimmel/status/1425852778425974784,
Chicago,,IL,US,2017-08-12,,,,,,,SlutWalk Chicago,women’s rights demonstration against sexual violence,1,march,0,0,0,0,1,1,http://www.jta.org/2017/08/13/news-opinion/united-states/zioness-activists-shunned-at-slutwalk-chicago,,,,,,
Detroit,Palmer Park; 19021 Woodward Ave.,MI,US,2017-08-12,,,,,,,Metro-Detroit Political Action Network,SlutWalk; ending rape culture and victim-blaming,0,rally,,,,,1,1,https://www.metrotimes.com/detroit/why-there-will-be-a-slutwalk-in-palmer-park-this-weekend/Content?oid=4899133,,,,,,
Fort Lauderdale,,FL,US,2017-08-12,,,,,,,"People’s Opposition to War, Imperialism and Racism",rally for peace in Korea,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2017/8/13/south-floridians-rally-peace-korea,,,,,,
Houston,City Hall,TX,US,2017-08-12,around 50,50,,50,,,Houston Socialist Movement; New Black Panther Party,Opposing TX's SB4; rallying for immigrants,1,protest; rally,0,0,0,0,1,1,http://www.chron.com/houston/article/Armed-protesters-expected-outside-Houston-City-11778076.php,,,,,,
Houston,City Hall,TX,US,2017-08-12,about 15,15,,15,,,Texas Patriot Network; Proud Boys ,Support anti-immigration bill,2,rally,0,0,0,0,0,1,http://www.chron.com/houston/article/Armed-protesters-expected-outside-Houston-City-11778076.php,,,,,,
Iowa City,University of Iowa Pentacrest ,IA,US,2017-08-12,FB: 36 went,36,,36,,,general protestors,Protesting violence/racism in Charlottesville,1,rally,0,0,0,0,1,1,http://littlevillagemag.com/charlottesville-solidarity-iowa-city-2017-anti-racist-rally/,,,,,,
Kingston,Academy Green Park,NY,US,2017-08-12,,,,,,,Alliance to Reclaim Our Schools; Alliance for Quality Education; People’s Action of New York,Demand high-quality public education for all students,1,rally,,,,,1,1,http://www.dailyfreeman.com/general-news/20170811/march-and-rally-for-education-saturday-in-kingston,,,,,,
Mission,Our Lady of Guadalupe Church; La Lomita Mission Chapel,TX,US,2017-08-12,at least 250; approximately 1000,250,,1000,,,Lower Rio Grande Valley Sierra Club; La Union del Pueblo Entero; ARISE; Stonewall Democrats,Oppose Trump's border wall plans,1,march,0,0,0,0,1,1,http://www.themonitor.com/news/immigration/article_8af9ab84-7d4e-11e7-841b-1f0c959459ca.html,https://www.usatoday.com/story/news/nation-now/2017/08/12/marchers-protest-plans-border-wall-south-texas/562504001/,http://www.colorlines.com/articles/texas-activists-peacefully-protest-border-wall,,,,
New York,Union Square,NY,US,2017-08-12,roughly 100,100,,100,,,general protestors,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/news/national/new-yorkers-rally-hate-union-square-article-1.3407314,,,,,,
North Miami Beach,,FL,US,2017-08-12,,,,,,,"People’s Opposition to War, Imperialism and Racism",rally for peace in Korea,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2017/8/13/south-floridians-rally-peace-korea,,,,,,
Oakland,Interstate 580 at Grand Avenue ,CA,US,2017-08-12,thousands,2000,,2000,,,Occupy Oakland,Protesting violence/racism in Charlottesville,1,protest; road blockade,0,0,0,0,1,1,https://www.bloomberg.com/news/articles/2017-08-13/hundreds-protest-in-oakland-over-deadly-virginia-rally,http://www.mercurynews.com/2017/08/12/occupy-oakland-call-saturday-night-rally-in-response-to-charlottesville/,,,,,
Pittsfield,Berkshire Museum,MA,US,2017-08-12,,,,,,,general protestors,opposed to the sale of artwork,0,protest,,,,,1,1,"http://www.berkshireeagle.com/stories/protest-of-art-auction-on-saturday-organizers-want-a-pause-and-a-rethink,516442",,,,,,
Portland,Oregon Convention Center,OR,US,2017-08-12,,,,,,,NAACP Oregon,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,1,1,http://katu.com/news/local/portland-protests-planned-in-response-to-charlottesville-violence-white-nationalist-rally,,,,,,
Portland,Pioneer Courthouse,OR,US,2017-08-12,,,,,,,Portland's Queer Liberation Front,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,1,1,http://katu.com/news/local/portland-protests-planned-in-response-to-charlottesville-violence-white-nationalist-rally,,,,,,
Richmond,Craneway Pavilion,CA,US,2017-08-12,,,,,,,general protestors,Rosie Rally to celebrate women who broke new ground in the U.S. workforce during WWII,0,rally,,,,,1,1,http://www.eastbaytimes.com/2017/08/07/young-rosie-the-riveter-fan-gets-into-spirit-ahead-of-richmond-rally/,,,,,,
Robeson County,along the county’s dozen Interstate 95 exits,NC,US,2017-08-12,,,,,,,organizer Lakola Cook,Prayer Rally for Robeson County,0,rally,,,,,1,1,http://www.fayobserver.com/news/20170810/prayer-rally-planned-saturday-in-robeson-county,,,,,,
Rome,Richard B. Russell Regional Airport Tillman Hangar ,GA,US,2017-08-12,,,,,,,Floyd County Republicans,local annual GOP rally,2,rally,,,,,1,1,http://www.northwestgeorgianews.com/rome/news/local/floyd-gop-expecting-all-major-candidates-at-rome-rally/article_54c0296a-7a58-11e7-8961-d7ed66044081.html,,,,,,
San Anotinio,Travis Park,TX,US,2017-08-12,hundreds,200,,200,,,general protestors,Rally to remove confederate statues,1,protest,0,0,0,0,1,1,https://www.texasobserver.org/confederate-protest-texas-counter-protest/,,,,,,
San Antonio,Travis Park,TX,US,2017-08-12,hundreds,200,,200,,,Texas Freedom Force,Rally to protect confederate statues,2,rally,1,0,0,0,1,1,https://www.texasobserver.org/confederate-protest-texas-counter-protest/,,,,,,
Santa Ana,Sasscer Park,CA,US,2017-08-12,about 150,150,,150,,,general protestors,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,1,1,http://www.ocregister.com/2017/08/12/more-than-100-rally-in-santa-ana-in-response-to-violence-at-white-nationalist-rally-in-virginia/,,,,,,
St. Louis,Outside Busch Stadium,MO,US,2017-08-12,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,protest,1,0,0,0,1,1,http://www.kmov.com/story/36123098/protests-in-downtown-st-louis-after-violent-protests-in-charlottesville-va,,,,,,
Vista,Downtown,CA,US,2017-08-12,,,,,,,general protestors,Protesting death by police of 2 area gang men,0,protest,0,0,0,0,1,1,http://www.cbs8.com/story/36122999/families-of-men-killed-by-same-deputy-lead-protest-in-vista,,,,,,
West Bradenten,downtown,FL,US,2017-08-12,dozens,24,,24,,,general protestors,Protesting proposed housing development,0,protest,0,0,0,0,1,1,http://www.bradenton.com/news/local/article166932942.html,,,,,,
Wilkes-Barre,across from TGI Fridays behind Wyoming Valley mall,PA,US,2017-08-12,,,,,,,"MAGA Nationwide, LLC; Spirit of America",pro-Trump,2,rally,,,,,1,1,http://www.pr.com/press-release/725979,,,,,,
Alamo,Santa Ana National Wildlife Refuge,TX,US,2017-08-13,hundreds,200,,200,,,general protestors,against border wall; pro-environment,1,protest hike,0,0,0,0,1,1,http://www.caller.com/story/news/local/2017/08/13/hike-demands-protection-wildlife-refuge-protests-texas-mexico-border-wall/562573001/,https://twitter.com/kelseyjukam/status/896778361426587650,,,,,
Anchorage,Town Square Park,AK,US,2017-08-13,more than 200; around 500,200,,500,,,We Are Anchorage; community members,rally against racism,0,rally,0,0,0,0,1,1,http://www.ktva.com/anchorage-residents-rally-racism-town-square-653/,http://www.ktuu.com/content/news/Anchorage-holds-rally-against-racism-after-Charlottesville-440249633.html,http://www.youralaskalink.com/news/anchorage-holds-standing-against-racism-rally/article_106c6978-8097-11e7-8f0e-23bc03ac9a11.html,,,,
Ann Arbor,in the Diag,MI,US,2017-08-13,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,,,,,1,1,https://itsgoingdown.org/guide-to-solidarity-actions-charlottesville-around-world/,,,,,,
Ardmore,Linwood Park,PA,US,2017-08-13,FB: 316 went,316,,316,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.facebook.com/events/1828239027488450/?,,,,,,
Asheville,Vance Monument,NC,US,2017-08-13,hundreds,200,,200,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://itsgoingdown.org/guide-to-solidarity-actions-charlottesville-around-world/,http://www.citizen-times.com/picture-gallery/news/local/2017/08/15/asheville-anti-hate-rally/104612342/,,,,,
Atlanta,Woodruff Park,GA,US,2017-08-13,FB: 470 went,470,,470,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.facebook.com/events/1860927727555542,,,,,,
Avalon,Casino Building to Wrigley Stage,CA,US,2017-08-13,na,27,,27,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil; march,0,0,0,0,1,1,https://twitter.com/lisakate111/status/896958981343555584,,,,,,
Bakersfield,Mill Creek Park,CA,US,2017-08-13,FB: 218 went,218,,218,,,Young Progressive Coalition; Bakersfield Young Democrats; NAACP Bakersfield; California Partnership,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.facebook.com/events/111758036155716/,,,,,,
Bangor,West Market Square ,ME,US,2017-08-13,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,rally,0,0,0,0,1,1,http://www.wcsh6.com/news/local/bangor-holds-rally-to-support-charlottesville-victims/464127619,,,,,,
Baton Rouge,state capitol; levee,LA,US,2017-08-13,FB: 95 went,95,,95,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil; march,0,0,0,0,1,1,https://www.facebook.com/events/194993731038248/,,,,,,
Billings,Yellowstone County Courthouse,MT,US,2017-08-13,about 60,60,,60,,,general protestors,Protesting violence/racism in Charlottesville,1,rally,0,0,0,0,1,1,http://lastbestnews.com/site/2017/08/violence-in-virginia-sparks-billings-rally-for-peace/,,,,,,
Birmingham,Five Points South Fountain,AL,US,2017-08-13,FB: 165 went,165,,165,,,Democratic Socialists of America - Birmingham,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.facebook.com/events/110599282943640,,,,,,
Blacksburg,Virginia Tech; Henderson Lawn,VA,US,2017-08-13,FB: 194 went,194,,194,,,Coalition for Justice,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.facebook.com/events/1292276487537271,,,,,,
Bloomington ,Monroe County Courthouse lawn,IN,US,2017-08-13,,,,,,,Monroe County NAACP,Protesting violence/racism in Charlottesville,1,rally,0,0,0,0,1,1,http://wane.com/2017/08/14/indiana-rallies-stand-against-racism-after-virginia-violence/,,,,,,
Boise,Anne Frank Memorial on Capitol Blvd,ID,US,2017-08-13,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,,,,,1,1,https://itsgoingdown.org/guide-to-solidarity-actions-charlottesville-around-world/,,,,,,
Bowling Green,Wooster Green at Church and Wooster streets,KY,US,2017-08-13,about 200,200,,200,,,general protestors,Rally to Protect Freedom,1,rally,0,0,0,0,1,1,http://www.toledoblade.com/local/2017/08/13/Bowling-Green-rallies-to-show-solidarity-with-Charlottesville.html,,,,,,
Chapel Hill,Silent Sam Statue,NC,US,2017-08-13,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,,,,,1,1,https://itsgoingdown.org/guide-to-solidarity-actions-charlottesville-around-world/,,,,,,
Charlotte,Marshall Park,NC,US,2017-08-13,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,,,,,1,1,http://www.wfmynews2.com/news/community/list-vigils-across-triad-nc-in-response-to-violence-in-charlottesville/464003576,,,,,,
Charlottesville,,VA,US,2017-08-13,hundreds,200,,200,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.washingtonpost.com/local/after-violence-in-charlottesville-vigils-for-peace-and-healing/2017/08/13/d94d9502-806e-11e7-b359-15a3617c767b_story.html?hpid=hp_hp-top-table-main_vigils-905pm%3Ahomepage%2Fstory&utm_term=.837d20ef9ae5,https://twitter.com/andrewkimmel/status/1426039583712575488,,,,,
Chicago,Millennium Park,IL,US,2017-08-13,about 400,400,,400,,,general protestors,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/breaking/ct-chicago-solidarity-with-charlottesville-march-20170813-story.html,,,,,,
Chico,MLK and 20th Street,CA,US,2017-08-13,FB: 8 went,8,,8,,,general protestors,Protesting violence/racism in Charlottesville,1,protest,,,,,1,1,https://www.facebook.com/events/198929303977681,,,,,,
Cincinnati,city hall; 801 Plum St,OH,US,2017-08-13,,,,,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,,,,,1,1,https://itsgoingdown.org/guide-to-solidarity-actions-charlottesville-around-world/,,,,,,
Cleveland,Public Square,OH,US,2017-08-13,,,,,,,Indivisible Cleveland,Protesting violence/racism in Charlottesville,1,protest,0,0,0,0,1,1,http://fox8.com/2017/08/13/live-rally-of-solidarity-for-charlottesville-held-at-public-square/,,,,,,
Cobleskill,Centre Park ,NY,US,2017-08-13,about 75,75,,75,,,general protestors,stand in solidarity with Charlottesville,1,rally,0,0,0,0,1,1,http://www.timesjournalonline.com/article.asp?id=102794,,,,,,
Columbus,Goodale Park; 101 Buttles Ave; to the State House,OH,US,2017-08-13,FB: 496 went,496,,496,,,ISO Columbus; Columbus Citizens for Police Review; DSA Columbus; Yes We Can Columbus,Protesting violence/racism in Charlottesville,1,vigil; march,0,0,0,0,1,1,https://www.facebook.com/events/1386528824801451,http://www.therepublic.com/2017/08/20/antihate_rally_reinforces_citys_message_of_unity/,,,,,
Concord,Rotary Square & Market; 111 Union St S,NC,US,2017-08-13,FB: 53 went,53,,53,,,general protestors,Protesting violence/racism in Charlottesville,1,vigil,0,0,0,0,1,1,https://www.facebook.com/events/413398862389208,,,,,,
